,counts_d3_c95_K100_status,counts_d3_c95_K100_correlation,counts_d3_c95_reg_K100_status,counts_d3_c95_reg_K100_correlation,counts_d3_c95_tx_K100_status,counts_d3_c95_tx_K100_correlation,counts_d3_c95_KNone_status,counts_d3_c95_KNone_correlation,counts_d3_c95_reg_KNone_status,counts_d3_c95_reg_KNone_correlation,counts_d3_c95_tx_KNone_status,counts_d3_c95_tx_KNone_correlation,counts_d3_c50_K100_status,counts_d3_c50_K100_correlation,counts_d3_c50_reg_K100_status,counts_d3_c50_reg_K100_correlation,counts_d3_c50_tx_K100_status,counts_d3_c50_tx_K100_correlation,counts_d3_c50_KNone_status,counts_d3_c50_KNone_correlation,counts_d3_c50_reg_KNone_status,counts_d3_c50_reg_KNone_correlation,counts_d3_c50_tx_KNone_status,counts_d3_c50_tx_KNone_correlation
ABCD1,OPTIMAL,-0.5624713935728627,OPTIMAL,-0.06157004947460421,OPTIMAL,-0.06886918588548707,OPTIMAL,-0.05933931740551071,OPTIMAL,-0.05912842912709813,OPTIMAL,-0.06887093033931752,INFEASIBLE,,OPTIMAL,-0.05696571546454647,OPTIMAL,-0.059690986110614214,OPTIMAL,-0.05496036838652554,OPTIMAL,-0.058398271005340494,OPTIMAL,-0.06011927545175206
ABCD3,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10660950928149862,OPTIMAL,-0.04140995213288735,OPTIMAL,-0.15620449969948746,OPTIMAL,-0.10692999559929342,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCD4,INFEASIBLE,,OPTIMAL,-0.13974011166244205,OPTIMAL,-2.2789037186233494e-06,OPTIMAL,-0.08441810150576554,OPTIMAL,-0.09632231797553369,OPTIMAL,-0.12788274824947068,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0871644663581169,OPTIMAL,-0.08717379685259448,OPTIMAL,-0.07787497698964227,OPTIMAL,-0.08688734134805705
ABCE1,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.21383332664140905,OPTIMAL,-0.39429265396584984,OPTIMAL,-0.165538038083534,OPTIMAL,-0.29279547121798943,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF1,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18926760843820462,OPTIMAL,2.723284333630445e-07,OPTIMAL,-0.15284043278590032,OPTIMAL,-0.2623575180866478,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF2,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17924861355503646,OPTIMAL,-0.2982732520068955,OPTIMAL,-0.19966100718836932,OPTIMAL,-0.23875158486781276,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF3,INFEASIBLE,,OPTIMAL,-0.2918588325155816,OPTIMAL,-0.0906854716906023,OPTIMAL,-0.08472671942521325,OPTIMAL,-0.14398126845250353,OPTIMAL,-0.0912205544894402,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08628328689100737,OPTIMAL,-0.08700426192567783,OPTIMAL,-0.08324763684557918,OPTIMAL,-0.08551622657809228
ABCG1,OPTIMAL,5.529078278082397e-09,INFEASIBLE,,OPTIMAL,-0.014557439742110666,OPTIMAL,-0.32224787263709914,OPTIMAL,-0.7096808542013083,OPTIMAL,-3.817939384014954e-05,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD10,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-1.3732405843313028e-06,OPTIMAL,-0.06796252354955006,OPTIMAL,-0.05793023012541182,OPTIMAL,-0.05489025909727956,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD11,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.05484294103834528,OPTIMAL,-0.13645228771074683,OPTIMAL,-0.005127316054820038,OPTIMAL,-0.10852835998672528,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD12,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1532079643942975,OPTIMAL,-0.17250189865587146,OPTIMAL,-0.13264937178755865,OPTIMAL,-0.1529031544681447,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD13,INFEASIBLE,,OPTIMAL,-0.1065870089813007,OPTIMAL,-0.07316778777268472,OPTIMAL,-0.06628110712633231,OPTIMAL,-0.056112819959119126,OPTIMAL,-0.07317589174576519,INFEASIBLE,,OPTIMAL,-0.07364780301303617,OPTIMAL,-0.06410426903793189,OPTIMAL,-0.06458915739198949,OPTIMAL,-0.06349003057933142,OPTIMAL,-0.06514298565850786
ABHD14B,INFEASIBLE,,OPTIMAL,-0.19517913574009474,OPTIMAL,-0.13342456965038807,OPTIMAL,-0.13936708722908764,OPTIMAL,-0.11142144757215702,OPTIMAL,-0.1327128373584902,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13063921353665534,OPTIMAL,-0.1317556483375116,OPTIMAL,-0.1312686628997425,OPTIMAL,-0.1310192189704989
ABHD15,INFEASIBLE,,OPTIMAL,-0.1539140774841313,OPTIMAL,-0.049112000563290036,OPTIMAL,-0.11478127199046996,OPTIMAL,-0.13797661371122305,OPTIMAL,-0.049110465201511175,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD17A,OPTIMAL,2.0163059543405475e-09,OPTIMAL,-0.13607371925106068,OPTIMAL,-0.12481264894859588,OPTIMAL,-0.13178572655794638,OPTIMAL,-0.10362174426546754,OPTIMAL,-0.12481453745306133,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD17B,INFEASIBLE,,OPTIMAL,-0.08569464025683282,OPTIMAL,-0.053102835983932214,OPTIMAL,-0.07096265147799401,OPTIMAL,-0.07913484238909214,OPTIMAL,-0.055762510967613664,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.060920064638289306,OPTIMAL,-0.07319986933248039,OPTIMAL,-0.05396720875544423,OPTIMAL,-0.061062692568840116
ABHD17C,INFEASIBLE,,OPTIMAL,-0.07482529073841267,OPTIMAL,-0.10944254471041104,OPTIMAL,-0.09723780250237725,OPTIMAL,-0.07352143285908914,OPTIMAL,-0.10919657512692064,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,TIME_LIMIT,,INFEASIBLE,,INFEASIBLE,
ABHD2,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15422857722457156,OPTIMAL,-0.15392594142520322,OPTIMAL,-0.13276143284989272,OPTIMAL,-0.15424592402447698,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD3,INFEASIBLE,,OPTIMAL,-0.13198136446131092,OPTIMAL,-0.1156561600304407,OPTIMAL,-0.11163061797671885,OPTIMAL,-0.10432291768905678,OPTIMAL,-0.11566238984057675,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11142721040546402,OPTIMAL,-0.1055836145950952,OPTIMAL,-0.11330222666692988,OPTIMAL,-0.1142168182866356
ABHD4,INFEASIBLE,,OPTIMAL,-0.10992702516264186,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10992702516264186,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08855121826037028,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08855121826037028,INFEASIBLE,
ABHD5,INFEASIBLE,,OPTIMAL,-0.28374980425380564,OPTIMAL,-0.07933549066186202,OPTIMAL,-0.17441794885453005,OPTIMAL,-0.10668969344097826,OPTIMAL,-0.0806656648101988,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI1,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16290794491577273,OPTIMAL,-0.16498583981228523,OPTIMAL,-0.2008300262727972,OPTIMAL,-0.16291155232984536,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI2,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14521963545954408,OPTIMAL,-0.1596448156323142,OPTIMAL,-0.0980673993307095,OPTIMAL,-0.1453201727599182,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI3BP,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07576520875971289,OPTIMAL,-0.1319438851385703,OPTIMAL,-0.12416588233057084,OPTIMAL,-0.07604420482313748,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABL1,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07684376787739038,OPTIMAL,-0.07826862061950675,OPTIMAL,-0.13345859069105218,OPTIMAL,-0.07685481038083168,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABL2,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.21097507934571808,OPTIMAL,-0.4607474753764198,OPTIMAL,-0.11877014753971245,OPTIMAL,-0.21322517603129562,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABLIM3,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19499323111344113,OPTIMAL,-0.12407869088489863,OPTIMAL,-0.16139673852795325,OPTIMAL,-0.19499835001093552,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABR,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15318207248608368,OPTIMAL,-0.15819817330251054,OPTIMAL,-0.056175900206477745,OPTIMAL,-0.15320500279067703,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABRACL,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.266531259549863,OPTIMAL,-0.27937602441788323,OPTIMAL,-0.21885825514771948,OPTIMAL,-0.26653564095190296,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABT1,INFEASIBLE,,OPTIMAL,-0.30925019732389764,OPTIMAL,-0.15677201208733985,OPTIMAL,-0.1270874538531074,OPTIMAL,-0.052749705816157004,OPTIMAL,-0.16269832740544746,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABTB1,INFEASIBLE,,OPTIMAL,-0.08023338387731943,OPTIMAL,-0.08143262231840807,OPTIMAL,-0.0739668699689873,OPTIMAL,-0.05851601946233567,OPTIMAL,-0.08143721820264437,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAA1,INFEASIBLE,,OPTIMAL,-0.2657095232085489,OPTIMAL,-0.16145537047185782,OPTIMAL,-0.2432628597673631,OPTIMAL,-0.12938813292924203,OPTIMAL,-0.1614489064236799,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAA2,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13466740970928825,OPTIMAL,-0.10069060477422496,OPTIMAL,-0.11175492525016001,OPTIMAL,-0.1347011737844013,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACACA,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.22692554953843633,OPTIMAL,-0.10281065062873652,OPTIMAL,-0.2753662496215201,OPTIMAL,-0.22692999722868576,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAD8,INFEASIBLE,,OPTIMAL,-0.18539307835502747,OPTIMAL,-0.12311626042236497,OPTIMAL,-0.12413394413566375,OPTIMAL,-0.10896224273383104,OPTIMAL,-0.12304151963423995,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAD9,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-1.6989390935302521e-06,OPTIMAL,-0.471647485096752,OPTIMAL,-0.14677751690078536,OPTIMAL,-0.14317054330007686,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACADM,INFEASIBLE,,OPTIMAL,-0.23258834791546798,OPTIMAL,-0.17408747474247527,OPTIMAL,-0.21059830647989594,OPTIMAL,-0.1473301403224371,OPTIMAL,-0.1740982660842137,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACADS,INFEASIBLE,,OPTIMAL,-0.07277354843734771,OPTIMAL,-0.06591288851013144,OPTIMAL,-0.0692297615656839,OPTIMAL,-0.03744601112152239,OPTIMAL,-0.06592802323016965,INFEASIBLE,,OPTIMAL,-0.0447315185197194,OPTIMAL,-0.05240816955545997,OPTIMAL,-0.06514188222061991,OPTIMAL,-0.05048237511635205,OPTIMAL,-0.051271620541043936
ACADSB,INFEASIBLE,,OPTIMAL,-0.15584114262677257,OPTIMAL,-0.12084630596499137,OPTIMAL,-0.11556456705017887,OPTIMAL,-0.09064436537174242,OPTIMAL,-0.12085776387548301,INFEASIBLE,,OPTIMAL,-0.12871102029302636,OPTIMAL,-0.11840411123090552,OPTIMAL,-0.13490853932513094,OPTIMAL,-0.1268081684935685,OPTIMAL,-0.1186685755971349
ACADVL,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12037206147616909,OPTIMAL,-0.14610048097354486,OPTIMAL,-0.08474801961825226,OPTIMAL,-0.12044996543112955,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAP1,INFEASIBLE,,OPTIMAL,-0.09546403444256225,OPTIMAL,-0.10062946732917977,OPTIMAL,-0.9371927686698267,OPTIMAL,-0.050478143242240904,OPTIMAL,-0.03730663350833893,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
