,Target,Score,Interaction,Expression
AC004980.7,False,,False,0.4136690647482014
AC004980.9,False,,False,0.007194244604316547
AC004985.12,False,,False,0.007194244604316547
AC004987.9,False,,False,0.46402877697841727
AC004988.1,False,,False,0.10071942446043165
AC005009.1,False,,False,0.007194244604316547
AC005014.5,False,,False,0.03237410071942446
AC005017.2,False,,False,0.046762589928057555
AC005019.2,False,,False,0.07553956834532374
AC005027.3,False,,False,0.050359712230215826
AC005037.6,False,,False,0.007194244604316547
AC005042.2,False,,False,0.01079136690647482
AC005042.4,False,,False,0.014388489208633094
AC005062.2,False,,True,0.017985611510791366
AC005071.4,False,,False,0.0035971223021582736
AC005076.5,False,,False,0.44244604316546765
AC005077.14,False,,True,0.06115107913669065
AC005077.5,False,,False,0.014388489208633094
AC005077.7,False,,False,0.12949640287769784
AC005086.3,False,,False,1.0683453237410072
AC005094.2,False,,False,0.01079136690647482
AC005102.1,False,,True,0.08633093525179857
AC005154.6,False,,False,1.9424460431654675
AC005176.2,False,,False,0.01079136690647482
AC005224.2,False,,False,0.01079136690647482
AC005229.1,False,,False,0.02158273381294964
AC005229.7,False,,False,1.6007194244604317
AC005235.1,False,,False,0.0035971223021582736
AC005237.4,False,,False,0.01079136690647482
AC005251.3,False,,False,39.56115107913669
AC005253.2,False,,False,0.381294964028777
AC005255.3,False,,True,0.14388489208633093
AC005262.4,False,,False,0.1618705035971223
AC005264.2,False,,False,0.08992805755395683
AC005276.1,False,,False,0.0035971223021582736
AC005281.1,False,,False,0.014388489208633094
AC005300.5,False,,False,0.02158273381294964
AC005304.1,False,,False,0.0035971223021582736
AC005307.1,False,,True,0.025179856115107913
AC005307.3,False,,False,0.10071942446043165
AC005324.6,False,,False,0.0035971223021582736
AC005336.5,False,,False,0.025179856115107913
AC005351.1,False,,False,0.0035971223021582736
AC005355.1,False,,False,0.0035971223021582736
AC005355.2,False,,False,0.0035971223021582736
AC005358.3,False,,False,0.0035971223021582736
AC005363.11,False,,False,0.18345323741007194
AC005387.2,False,,False,0.0683453237410072
AC005480.1,False,,False,0.08992805755395683
AC005481.5,True,-0.33,False,0.007194244604316547
AC005487.2,False,,False,0.007194244604316547
AC005498.3,False,,False,0.06474820143884892
AC005498.4,False,,False,0.03237410071942446
AC005517.3,False,,False,0.007194244604316547
AC005522.6,False,,False,0.0035971223021582736
AC005522.7,False,,False,0.03237410071942446
AC005532.5,False,,False,0.06474820143884892
AC005534.6,False,,False,0.13309352517985612
AC005537.2,False,,False,0.02158273381294964
AC005539.2,False,,False,0.01079136690647482
AC005540.3,False,,False,0.02877697841726619
AC005550.3,False,,False,0.49640287769784175
AC005550.5,False,,False,0.0035971223021582736
AC005559.3,False,,False,0.014388489208633094
AC005562.1,False,,False,0.014388489208633094
AC005578.3,False,,False,0.32014388489208634
AC005592.2,False,,False,0.10431654676258993
AC005593.2,False,,False,0.017985611510791366
AC005609.2,False,,False,0.01079136690647482
AC005614.3,False,,False,0.10431654676258993
AC005618.6,False,,False,0.014388489208633094
AC005682.5,False,,False,2.2446043165467624
AC005682.6,False,,False,0.18345323741007194
AC005682.7,False,,False,0.09352517985611511
AC005702.1,False,,True,0.4892086330935252
AC005702.2,False,,False,0.039568345323741004
AC005702.3,False,,False,0.03597122302158273
