,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
ADRA1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17213738198983972,INFEASIBLE,
ADRB1,OPTIMAL,-0.1259452889525815,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09976702886446462,INFEASIBLE,
ADRB2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.23678784676382952,INFEASIBLE,
ADRM1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADSL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEBP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEBP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFAP1L1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1801231057448881,INFEASIBLE,
AFF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFG3L2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFMID,OPTIMAL,-0.0295761588797272,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06854161974144563,OPTIMAL,-0.04770667195797241
AFTPH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16639861143392742,INFEASIBLE,
AGA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14232222538504197,INFEASIBLE,
AGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18024623607503623,INFEASIBLE,
AGAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGAP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12929930240677226,INFEASIBLE,
AGBL5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17508870469996649,INFEASIBLE,
AGFG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGFG2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.4988286892512743,OPTIMAL,-0.09395398273198041
AGGF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14007683656628064,INFEASIBLE,
AGL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1747737916080015,INFEASIBLE,
AGO1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15221457897769258,INFEASIBLE,
AGO4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09754743856427019,OPTIMAL,-0.07828139796959506
AGPAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18470000180571958,INFEASIBLE,
AGPAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0972131397519396,INFEASIBLE,
AGPAT5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGTPBP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14722429024959002,OPTIMAL,-0.08754973427478757
AGTRAP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12020590660556278,INFEASIBLE,
AHCTF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHCY,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHCYL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHDC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18272575127224905,INFEASIBLE,
AHI1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHNAK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
