,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
ABCE1,OPTIMAL,-0.4046563852328224,INFEASIBLE,,OPTIMAL,-0.214516206036891,INFEASIBLE,
ABCF1,OPTIMAL,2.880817683454265e-07,INFEASIBLE,,OPTIMAL,-0.16993568241547527,INFEASIBLE,
ABCF2,OPTIMAL,-0.3863724236184033,INFEASIBLE,,OPTIMAL,-0.13154520897808136,INFEASIBLE,
ABCF3,OPTIMAL,-0.1069286460887745,OPTIMAL,-0.0811320028999004,OPTIMAL,-0.10749328645417246,OPTIMAL,-0.0797693995471492
ABCG1,OPTIMAL,1.3117716106852286e-07,INFEASIBLE,,OPTIMAL,-0.03698184298592352,INFEASIBLE,
ABHD10,OPTIMAL,-0.0632325556299065,INFEASIBLE,,OPTIMAL,-0.027467733240979758,INFEASIBLE,
ABHD11,OPTIMAL,-0.1110340365479456,INFEASIBLE,,OPTIMAL,-0.09137944855812212,INFEASIBLE,
ABHD12,OPTIMAL,-0.1867292502629201,INFEASIBLE,,OPTIMAL,-0.13673505199196734,INFEASIBLE,
ABHD13,OPTIMAL,-0.1013764544219825,OPTIMAL,-0.065356617124815,OPTIMAL,-0.054772435163079426,OPTIMAL,-0.06841148757305404
ABHD14B,OPTIMAL,-0.1346440012319465,OPTIMAL,-0.1367232059865174,OPTIMAL,-0.10864002302090187,OPTIMAL,-0.13031439410140147
ABHD15,OPTIMAL,-0.1166014311826483,INFEASIBLE,,OPTIMAL,-0.10945301600153072,INFEASIBLE,
ABHD17A,OPTIMAL,1.7266338235512134e-16,INFEASIBLE,,OPTIMAL,-0.04321933828506412,INFEASIBLE,
ABHD17B,OPTIMAL,-0.2472412591655979,OPTIMAL,-0.0457421440032226,OPTIMAL,-0.04731973856799055,OPTIMAL,-0.055215210835700745
ABHD17C,OPTIMAL,-0.1259207862279198,TIME_LIMIT,,OPTIMAL,-0.06962446506275263,INFEASIBLE,
ABHD2,OPTIMAL,-0.1229499967521329,INFEASIBLE,,OPTIMAL,-0.12270639223453986,INFEASIBLE,
ABHD3,OPTIMAL,-0.1097284457637613,INFEASIBLE,,OPTIMAL,-0.10692674408411264,INFEASIBLE,
ABHD4,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10270280043546054,OPTIMAL,-0.09081960812419033
ABHD5,OPTIMAL,-0.0808051789558765,INFEASIBLE,,OPTIMAL,-0.0918424976206078,INFEASIBLE,
ABI1,OPTIMAL,-0.1687730361210567,INFEASIBLE,,OPTIMAL,-0.14471939541938791,INFEASIBLE,
ABI2,OPTIMAL,-0.1602391819063887,INFEASIBLE,,OPTIMAL,-0.0844547587035348,INFEASIBLE,
ABI3BP,OPTIMAL,-0.2084104399499757,INFEASIBLE,,OPTIMAL,-0.1180985328625524,INFEASIBLE,
ABL1,OPTIMAL,-0.076406236654766,INFEASIBLE,,OPTIMAL,-0.13482048165525706,INFEASIBLE,
ABL2,OPTIMAL,-0.3507718218637913,INFEASIBLE,,OPTIMAL,-0.13824288526079345,INFEASIBLE,
ABLIM3,OPTIMAL,-0.2558780511177106,INFEASIBLE,,OPTIMAL,-0.23789869445856712,INFEASIBLE,
ABR,OPTIMAL,-0.212377924241384,INFEASIBLE,,OPTIMAL,-0.11734463322110845,INFEASIBLE,
ABRACL,OPTIMAL,-0.1637348771395809,INFEASIBLE,,OPTIMAL,-0.1587347508278047,INFEASIBLE,
ABT1,OPTIMAL,-0.2353938798490804,INFEASIBLE,,OPTIMAL,-0.13952540591380222,INFEASIBLE,
