ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000100584	Gm28733	lincRNA
ENSMUSG00000080730	Gm11313	processed_pseudogene
ENSMUSG00000092092	Gm17215	lincRNA
ENSMUSG00000099347	Gm28093	unprocessed_pseudogene
ENSMUSG00000085070	Gm13211	lincRNA
ENSMUSG00000103371	Gm35134	protein_coding
ENSMUSG00000101379	Gm28092	lincRNA
ENSMUSG00000032110	Acrv1	protein_coding
ENSMUSG00000031156	Slc35a2	protein_coding
ENSMUSG00000083794	Gm16123	processed_pseudogene
ENSMUSG00000099890	Gm28262	processed_transcript
ENSMUSG00000071493	Vmn1r208	protein_coding
ENSMUSG00000094395	Gm11807	processed_pseudogene
ENSMUSG00000032625	Thsd7a	protein_coding
ENSMUSG00000019813	Cep57l1	protein_coding
ENSMUSG00000037458	Azin1	protein_coding
ENSMUSG00000089719	Gm15758	lincRNA
ENSMUSG00000103814	Gm38007	processed_pseudogene
ENSMUSG00000087643	Gm11314	antisense
ENSMUSG00000103489	Gm37998	lincRNA
ENSMUSG00000083344	Gm7363	processed_pseudogene
ENSMUSG00000100565	Gm28091	lincRNA
ENSMUSG00000039375	Wdr17	protein_coding
ENSMUSG00000104379	Gm37509	TEC
ENSMUSG00000023902	Zscan10	protein_coding
ENSMUSG00000089839	Rps19-ps11	processed_pseudogene
ENSMUSG00000032719	Sbspon	protein_coding
ENSMUSG00000089673	Gm16546	processed_pseudogene
ENSMUSG00000045573	Penk	protein_coding
ENSMUSG00000066315	Gm12918	processed_pseudogene
ENSMUSG00000022243	Slc45a2	protein_coding
ENSMUSG00000085996	A830012C17Rik	processed_transcript
ENSMUSG00000083220	Gm12919	processed_pseudogene
ENSMUSG00000082093	Gm15928	processed_pseudogene
ENSMUSG00000103346	C230057A21Rik	lincRNA
ENSMUSG00000103796	Gm38094	TEC
ENSMUSG00000102269	Gm7357	processed_pseudogene
ENSMUSG00000021418	Rpp40	protein_coding
ENSMUSG00000102552	Gm21763	unprocessed_pseudogene
ENSMUSG00000103256	Gm37647	TEC
ENSMUSG00000051154	Commd3	protein_coding
ENSMUSG00000104426	Gm38369	unprocessed_pseudogene
ENSMUSG00000033653	Vps8	protein_coding
