,MIR199A1_All_d3_c95_status
METTL17,OPTIMAL
METTL4,OPTIMAL
METTL6,OPTIMAL
MEX3C,OPTIMAL
MFF,OPTIMAL
MFGE8,OPTIMAL
MFSD1,OPTIMAL
MFSD11,OPTIMAL
MFSD5,OPTIMAL
MFSD8,OPTIMAL
MFSD9,INFEASIBLE
MGMT,OPTIMAL
MICAL3,OPTIMAL
MICB,OPTIMAL
MIIP,OPTIMAL
MINK1,OPTIMAL
MINPP1,OPTIMAL
MIPEP,OPTIMAL
MKRN1,OPTIMAL
MKS1,OPTIMAL
MLF1,OPTIMAL
MLH3,OPTIMAL
MLLT11,OPTIMAL
MMAA,OPTIMAL
MMACHC,OPTIMAL
MMP1,OPTIMAL
MMP16,OPTIMAL
MMP19,OPTIMAL
MMP2,OPTIMAL
MOAP1,OPTIMAL
MOB2,OPTIMAL
MOCOS,OPTIMAL
MOCS3,OPTIMAL
MORC2,OPTIMAL
MORN4,OPTIMAL
MOSPD2,OPTIMAL
MOV10,OPTIMAL
MPDU1,OPTIMAL
MPHOSPH6,OPTIMAL
MPI,OPTIMAL
MPP1,OPTIMAL
MPP4,OPTIMAL
MPST,OPTIMAL
MR1,OPTIMAL
MRAS,OPTIMAL
MRGPRF,OPTIMAL
MROH1,OPTIMAL
MRPL12,OPTIMAL
MRPL2,OPTIMAL
MRPL30,OPTIMAL
MRPL4,OPTIMAL
MRPL40,OPTIMAL
MRPL47,OPTIMAL
MRPL54,OPTIMAL
MRPS18A,OPTIMAL
MRPS35,OPTIMAL
MRS2,OPTIMAL
MSANTD2,OPTIMAL
MSANTD4,OPTIMAL
MSC,INFEASIBLE
MSI2,OPTIMAL
MSL2,OPTIMAL
MSRA,OPTIMAL
MT1X,OPTIMAL
MTA1,OPTIMAL
MTA3,OPTIMAL
MTERF4,OPTIMAL
MTFMT,OPTIMAL
MTFR1,OPTIMAL
MTFR2,OPTIMAL
MTHFD1,OPTIMAL
MTHFD2,OPTIMAL
MTHFR,OPTIMAL
MTM1,OPTIMAL
MTMR1,OPTIMAL
MTMR6,OPTIMAL
MTMR9,OPTIMAL
MTO1,OPTIMAL
MTPAP,OPTIMAL
MTSS1,INFEASIBLE
MTUS1,OPTIMAL
MTX2,OPTIMAL
MYBBP1A,OPTIMAL
MYEOV,OPTIMAL
MYL9,OPTIMAL
MYLIP,OPTIMAL
MYLK2,OPTIMAL
MYO1D,OPTIMAL
N4BP2,OPTIMAL
NAA16,OPTIMAL
NAAA,OPTIMAL
NAB1,OPTIMAL
NACC2,OPTIMAL
NAE1,OPTIMAL
NAIF1,OPTIMAL
NAIP,OPTIMAL
NANP,OPTIMAL
NAPA,OPTIMAL
NAPRT,OPTIMAL
NARF,OPTIMAL
NARS2,OPTIMAL
NAT14,OPTIMAL
NBEAL1,OPTIMAL
NBPF11,OPTIMAL
NBPF12,OPTIMAL
NBPF20,OPTIMAL
NBPF9,OPTIMAL
NCALD,OPTIMAL
NCAM1,OPTIMAL
NCAPH,OPTIMAL
NCAPH2,OPTIMAL
NCDN,OPTIMAL
NCK1,OPTIMAL
NCKIPSD,OPTIMAL
NCOA5,OPTIMAL
NDE1,OPTIMAL
NDN,OPTIMAL
NDOR1,OPTIMAL
NDP,OPTIMAL
NDUFAF5,OPTIMAL
NDUFB5,OPTIMAL
NEDD4,OPTIMAL
NEFL,OPTIMAL
NEIL3,OPTIMAL
NEK4,OPTIMAL
NENF,OPTIMAL
NETO2,OPTIMAL
NEU3,OPTIMAL
NFAT5,OPTIMAL
NFATC1,OPTIMAL
NFIB,OPTIMAL
NFKB2,OPTIMAL
NFKBIE,OPTIMAL
NFKBIL1,OPTIMAL
NFU1,OPTIMAL
NFX1,OPTIMAL
NFYA,OPTIMAL
NHSL1,OPTIMAL
NHSL2,OPTIMAL
NICN1,OPTIMAL
NID2,INFEASIBLE
NINJ1,OPTIMAL
NIPSNAP1,OPTIMAL
NKAP,OPTIMAL
NKRF,OPTIMAL
NLGN2,OPTIMAL
NLRC5,OPTIMAL
NLRP1,OPTIMAL
NMI,OPTIMAL
NMRAL1,OPTIMAL
NOCT,OPTIMAL
NOL6,OPTIMAL
NOTCH1,OPTIMAL
NPEPL1,OPTIMAL
NPHP1,OPTIMAL
NPHP3,OPTIMAL
NPHP4,INFEASIBLE
NPIPA7,OPTIMAL
NPIPA8,OPTIMAL
NPLOC4,OPTIMAL
NPM3,OPTIMAL
NPRL3,OPTIMAL
NR1D2,OPTIMAL
NR1H3,OPTIMAL
NR2C1,OPTIMAL
NRBP2,OPTIMAL
NREP,OPTIMAL
NRG1,OPTIMAL
NRM,OPTIMAL
NRN1,OPTIMAL
NRSN2,OPTIMAL
NSFL1C,OPTIMAL
NSUN2,OPTIMAL
NSUN4,OPTIMAL
NTHL1,OPTIMAL
NTNG1,OPTIMAL
NUAK1,OPTIMAL
NUCB1,OPTIMAL
NUDT10,OPTIMAL
NUDT16L1,OPTIMAL
NUDT8,OPTIMAL
NUMBL,OPTIMAL
NXN,OPTIMAL
NXT1,OPTIMAL
NXT2,OPTIMAL
OCEL1,OPTIMAL
OCRL,OPTIMAL
OGG1,OPTIMAL
OLFM1,OPTIMAL
OPA1,OPTIMAL
ORC1,OPTIMAL
ORMDL1,OPTIMAL
ORMDL3,OPTIMAL
OS9,OPTIMAL
OSBPL2,OPTIMAL
OSBPL3,OPTIMAL
OSBPL5,OPTIMAL
OSCP1,OPTIMAL
OSGEP,OPTIMAL
OSGEPL1,OPTIMAL
OSGIN1,OPTIMAL
OTUD3,OPTIMAL
P2RX4,OPTIMAL
P3H3,OPTIMAL
PACS2,OPTIMAL
PAMR1,OPTIMAL
PAN2,OPTIMAL
PAQR4,INFEASIBLE
PARD3,OPTIMAL
PARP10,OPTIMAL
PARP12,OPTIMAL
PARP14,OPTIMAL
PARP6,OPTIMAL
PASK,OPTIMAL
PATZ1,OPTIMAL
PAWR,OPTIMAL
PAX3,OPTIMAL
PAXIP1,OPTIMAL
PBX3,OPTIMAL
PC,OPTIMAL
PCBD2,OPTIMAL
PCCA,INFEASIBLE
PCDH18,OPTIMAL
PCDH9,OPTIMAL
PCDHGB5,INFEASIBLE
PCED1A,OPTIMAL
PCGF1,OPTIMAL
PCGF6,OPTIMAL
PCIF1,OPTIMAL
PCMTD1,OPTIMAL
PCMTD2,OPTIMAL
PCTP,OPTIMAL
PCYOX1,OPTIMAL
PCYT2,OPTIMAL
PDCD10,OPTIMAL
PDCD1LG2,OPTIMAL
PDCD2L,OPTIMAL
PDE12,OPTIMAL
PDE7B,OPTIMAL
PDE8A,OPTIMAL
PDF,OPTIMAL
PDHB,OPTIMAL
PDK1,OPTIMAL
PDK3,OPTIMAL
PDPK1,OPTIMAL
PEAR1,OPTIMAL
PECR,OPTIMAL
PELO,OPTIMAL
PENK,OPTIMAL
PEPD,OPTIMAL
PER3,INFEASIBLE
PET117,OPTIMAL
PEX10,OPTIMAL
PEX11B,OPTIMAL
PEX14,OPTIMAL
PEX16,OPTIMAL
PEX2,OPTIMAL
PEX5,OPTIMAL
PEX7,OPTIMAL
PFDN6,OPTIMAL
PFKFB4,OPTIMAL
PGA3,OPTIMAL
PGAP2,OPTIMAL
PGPEP1,OPTIMAL
PGRMC1,OPTIMAL
PGS1,OPTIMAL
PHACTR1,OPTIMAL
PHACTR4,OPTIMAL
PHC1,OPTIMAL
PHF1,OPTIMAL
PHF13,OPTIMAL
PHF2,OPTIMAL
PHF21A,OPTIMAL
PHF8,OPTIMAL
PHKA1,OPTIMAL
PHLDA3,OPTIMAL
PHYHD1,OPTIMAL
PI4KB,OPTIMAL
PIAS3,OPTIMAL
PIAS4,OPTIMAL
PICALM,OPTIMAL
PID1,OPTIMAL
PIDD1,INFEASIBLE
PIEZO1,OPTIMAL
PIF1,OPTIMAL
PIGQ,OPTIMAL
PIGT,OPTIMAL
PIH1D1,OPTIMAL
PIK3CD,OPTIMAL
PIK3R4,OPTIMAL
PIM1,OPTIMAL
PIP5K1C,OPTIMAL
PISD,OPTIMAL
PITPNM1,OPTIMAL
PITPNM2,OPTIMAL
PITX2,OPTIMAL
PKD2,OPTIMAL
PKMYT1,OPTIMAL
PKN1,OPTIMAL
PLA2R1,OPTIMAL
PLAG1,OPTIMAL
PLCD1,OPTIMAL
PLCG1,OPTIMAL
PLCL2,OPTIMAL
PLEK2,OPTIMAL
PLEKHA1,OPTIMAL
PLEKHA5,OPTIMAL
PLEKHG2,OPTIMAL
PLEKHG3,OPTIMAL
PLEKHG4,OPTIMAL
PLEKHH2,OPTIMAL
PLEKHM1,OPTIMAL
PLEKHM2,OPTIMAL
PLK2,OPTIMAL
PLK4,OPTIMAL
PLXNC1,OPTIMAL
PMS2,OPTIMAL
PNKP,OPTIMAL
PNPLA4,OPTIMAL
PNPLA8,OPTIMAL
PNRC1,OPTIMAL
POC1A,OPTIMAL
POLD1,OPTIMAL
POLG2,OPTIMAL
POLR3C,OPTIMAL
POLR3F,OPTIMAL
POLR3K,OPTIMAL
POMT2,OPTIMAL
PORCN,OPTIMAL
PPAN,OPTIMAL
PPCDC,OPTIMAL
PPFIA1,OPTIMAL
PPFIBP2,OPTIMAL
PPID,OPTIMAL
PPIL2,OPTIMAL
PPIL3,OPTIMAL
PPM1K,OPTIMAL
PPP1R11,OPTIMAL
PPP1R13B,OPTIMAL
PPP1R15A,OPTIMAL
PPP1R2,OPTIMAL
PPP1R35,OPTIMAL
PPP1R3B,OPTIMAL
PPP1R3D,OPTIMAL
PPP1R3E,INFEASIBLE
PPP2R3B,OPTIMAL
PPP4R2,OPTIMAL
PPRC1,OPTIMAL
PRADC1,OPTIMAL
PRCC,OPTIMAL
PRDM1,OPTIMAL
PRDM15,OPTIMAL
PRDM5,OPTIMAL
PRIM1,OPTIMAL
PRIMPOL,OPTIMAL
PRKAR1B,INFEASIBLE
PRKAR2B,OPTIMAL
PRKCD,OPTIMAL
PRKD1,OPTIMAL
PRMT9,OPTIMAL
PROCR,OPTIMAL
PROS1,OPTIMAL
PROSER1,OPTIMAL
PRPF18,OPTIMAL
PRPF39,OPTIMAL
PRR16,OPTIMAL
PRRT3,OPTIMAL
PRSS3,OPTIMAL
PRUNE2,OPTIMAL
PSEN1,OPTIMAL
PSEN2,OPTIMAL
PSG5,INFEASIBLE
PSMB10,OPTIMAL
PSMD9,OPTIMAL
PSMG2,OPTIMAL
PSTK,OPTIMAL
PTBP2,OPTIMAL
PTDSS2,OPTIMAL
PTER,OPTIMAL
PTGER2,OPTIMAL
PTH1R,INFEASIBLE
PTPDC1,OPTIMAL
PTPN18,OPTIMAL
PTPN3,OPTIMAL
PTPN4,OPTIMAL
PXDN,OPTIMAL
PYCARD,OPTIMAL
PYCR1,INFEASIBLE
PYCR2,OPTIMAL
PYGO2,OPTIMAL
PYROXD2,OPTIMAL
QPRT,OPTIMAL
R3HCC1L,OPTIMAL
R3HDM4,OPTIMAL
RAB23,OPTIMAL
RAB33B,OPTIMAL
RAB3D,INFEASIBLE
RAB40B,OPTIMAL
RAB5B,OPTIMAL
RABEP2,OPTIMAL
RABIF,OPTIMAL
RABL2B,OPTIMAL
RAD1,OPTIMAL
RAD17,OPTIMAL
RAD51AP1,OPTIMAL
RAD51D,OPTIMAL
RAD52,OPTIMAL
RAD54L,OPTIMAL
RALA,OPTIMAL
RALGAPA1,OPTIMAL
RALGAPA2,OPTIMAL
RALGDS,OPTIMAL
RANBP10,OPTIMAL
RANBP17,OPTIMAL
RAP2A,OPTIMAL
RAP2C,OPTIMAL
RAPGEF1,OPTIMAL
RAPGEF3,OPTIMAL
RASA1,OPTIMAL
RASA3,OPTIMAL
RASGRP3,OPTIMAL
RASSF4,OPTIMAL
RAVER2,OPTIMAL
RBFA,OPTIMAL
RBM12B,OPTIMAL
RBM14,OPTIMAL
RBM17,OPTIMAL
RBM19,OPTIMAL
RBM27,OPTIMAL
RBM4,OPTIMAL
RBM41,OPTIMAL
RCCD1,OPTIMAL
RCOR3,OPTIMAL
RECK,OPTIMAL
RECQL5,OPTIMAL
REEP4,OPTIMAL
REL,OPTIMAL
RELL1,OPTIMAL
RETSAT,OPTIMAL
REXO1,OPTIMAL
RFFL,OPTIMAL
RFX1,OPTIMAL
RFX2,OPTIMAL
RFX5,OPTIMAL
RFX7,OPTIMAL
RFXANK,OPTIMAL
RGP1,OPTIMAL
RGPD1,OPTIMAL
RGPD2,OPTIMAL
RGPD3,OPTIMAL
RGPD4,OPTIMAL
RGPD6,OPTIMAL
RGPD8,OPTIMAL
RGS2,OPTIMAL
RGS20,OPTIMAL
RHBDD3,INFEASIBLE
RHNO1,OPTIMAL
RHOQ,OPTIMAL
RHOT2,OPTIMAL
RIC1,OPTIMAL
RIC8B,OPTIMAL
RIMKLB,OPTIMAL
RING1,OPTIMAL
RINT1,OPTIMAL
RMDN3,OPTIMAL
RMI1,OPTIMAL
RMND1,OPTIMAL
RMND5A,OPTIMAL
RNF11,OPTIMAL
RNF113A,OPTIMAL
RNF115,OPTIMAL
RNF121,OPTIMAL
RNF123,OPTIMAL
RNF135,OPTIMAL
RNF157,OPTIMAL
RNF166,OPTIMAL
RNF169,OPTIMAL
RNF170,OPTIMAL
RNF175,INFEASIBLE
RNF185,OPTIMAL
RNF19A,OPTIMAL
RNF20,OPTIMAL
RNF214,OPTIMAL
RNF217,OPTIMAL
RNF40,OPTIMAL
RNLS,OPTIMAL
RNPC3,OPTIMAL
ROGDI,OPTIMAL
RPAIN,OPTIMAL
RPAP1,OPTIMAL
RPE65,OPTIMAL
RPIA,OPTIMAL
RPL17,OPTIMAL
RPL36A,OPTIMAL
RPP25L,OPTIMAL
RPP38,OPTIMAL
RPP40,OPTIMAL
RPRD1B,OPTIMAL
RPS19BP1,OPTIMAL
RPS6KC1,OPTIMAL
RPUSD1,OPTIMAL
RPUSD2,OPTIMAL
RPUSD3,OPTIMAL
RRAGB,OPTIMAL
RRAS,OPTIMAL
RREB1,OPTIMAL
RRM2B,OPTIMAL
RSBN1L,OPTIMAL
RSPH3,OPTIMAL
RSRC2,TIME_LIMIT
RTCA,OPTIMAL
RTEL1,OPTIMAL
RTL1,INFEASIBLE
RUNX2,OPTIMAL
RUSC2,OPTIMAL
RWDD2B,OPTIMAL
S100A2,OPTIMAL
SAMD9,OPTIMAL
SAMD9L,OPTIMAL
SAP30,OPTIMAL
SART3,OPTIMAL
SASS6,OPTIMAL
SBF2,OPTIMAL
SCAF8,OPTIMAL
SCAP,OPTIMAL
SCARA3,OPTIMAL
SCMH1,OPTIMAL
SCN8A,OPTIMAL
SCO2,OPTIMAL
SCRIB,OPTIMAL
SCRN3,OPTIMAL
SDHAF2,OPTIMAL
SDHAF4,OPTIMAL
SDSL,INFEASIBLE
SEC22B,OPTIMAL
SECISBP2,OPTIMAL
SEMA3A,OPTIMAL
SEMA4F,OPTIMAL
SEMA5A,OPTIMAL
SERINC2,OPTIMAL
SERPINB1,OPTIMAL
SERPING1,OPTIMAL
SERTAD1,OPTIMAL
SERTAD3,OPTIMAL
SESN1,OPTIMAL
SESN2,OPTIMAL
SESN3,OPTIMAL
SETD6,OPTIMAL
SETDB2,OPTIMAL
SETMAR,OPTIMAL
SETX,OPTIMAL
SF3B4,OPTIMAL
SFI1,OPTIMAL
SFMBT1,OPTIMAL
SFR1,OPTIMAL
SFSWAP,OPTIMAL
SFXN2,OPTIMAL
SFXN5,OPTIMAL
SGIP1,OPTIMAL
SGMS1,OPTIMAL
SGMS2,OPTIMAL
SGPP2,INFEASIBLE
SGSM2,OPTIMAL
SGSM3,OPTIMAL
SH2B1,OPTIMAL
SH2D4A,OPTIMAL
SH2D5,OPTIMAL
SH3BP5L,OPTIMAL
SH3GLB2,OPTIMAL
SH3RF1,OPTIMAL
SHPK,INFEASIBLE
SIAH1,OPTIMAL
SIDT2,OPTIMAL
SIK3,OPTIMAL
SIM1,OPTIMAL
SIMC1,OPTIMAL
SIN3B,OPTIMAL
SIPA1,OPTIMAL
SIPA1L1,OPTIMAL
SIRT2,OPTIMAL
SIRT7,OPTIMAL
SLAIN2,OPTIMAL
SLC11A2,OPTIMAL
SLC12A7,OPTIMAL
SLC16A5,OPTIMAL
SLC16A7,OPTIMAL
SLC1A3,OPTIMAL
SLC23A2,OPTIMAL
SLC24A1,OPTIMAL
SLC25A19,OPTIMAL
SLC25A20,INFEASIBLE
SLC25A22,OPTIMAL
SLC25A25,OPTIMAL
SLC25A28,OPTIMAL
SLC25A30,OPTIMAL
SLC25A40,OPTIMAL
SLC25A43,OPTIMAL
SLC25A51,OPTIMAL
SLC25A53,OPTIMAL
SLC27A4,OPTIMAL
SLC27A5,OPTIMAL
SLC2A13,OPTIMAL
SLC2A6,OPTIMAL
SLC30A1,OPTIMAL
SLC31A2,INFEASIBLE
SLC35A1,OPTIMAL
SLC35A4,TIME_LIMIT
SLC35C2,OPTIMAL
SLC35D1,OPTIMAL
SLC35D2,OPTIMAL
SLC36A4,OPTIMAL
SLC37A4,OPTIMAL
SLC38A6,INFEASIBLE
SLC39A1,OPTIMAL
SLC39A3,INFEASIBLE
SLC39A7,OPTIMAL
SLC41A1,OPTIMAL
SLC48A1,OPTIMAL
SLC4A8,OPTIMAL
SLC6A4,OPTIMAL
SLC7A2,OPTIMAL
SLC7A6OS,OPTIMAL
SLC8B1,OPTIMAL
SLF1,OPTIMAL
SLFN11,OPTIMAL
SLFN12,OPTIMAL
SLX4,OPTIMAL
SMAD1,OPTIMAL
SMARCAL1,OPTIMAL
SMCO4,OPTIMAL
SMG8,OPTIMAL
SMIM14,OPTIMAL
SMYD4,OPTIMAL
SNAP29,OPTIMAL
SNAP47,OPTIMAL
SNAPC2,OPTIMAL
SNAPC5,OPTIMAL
SNCG,OPTIMAL
SNIP1,OPTIMAL
SNN,OPTIMAL
SNRK,OPTIMAL
SNTA1,OPTIMAL
SNTB1,OPTIMAL
SNX11,OPTIMAL
SNX13,OPTIMAL
SNX25,OPTIMAL
SNX27,OPTIMAL
SNX9,OPTIMAL
SOCS1,OPTIMAL
SOCS2,OPTIMAL
SOCS7,OPTIMAL
SOD3,OPTIMAL
SORBS3,OPTIMAL
SOS2,OPTIMAL
SOWAHC,OPTIMAL
SOX4,OPTIMAL
SP2,OPTIMAL
SP9,OPTIMAL
SPA17,OPTIMAL
SPAG1,OPTIMAL
SPAG5,OPTIMAL
SPATA2,OPTIMAL
SPATA20,OPTIMAL
SPATA24,OPTIMAL
SPATC1L,OPTIMAL
SPC24,OPTIMAL
SPECC1L,OPTIMAL
SPG7,OPTIMAL
SPHK2,INFEASIBLE
SPIDR,OPTIMAL
SPIN2B,INFEASIBLE
SPIRE1,OPTIMAL
SPOCD1,OPTIMAL
SPOCK1,OPTIMAL
SPON1,OPTIMAL
SRC,OPTIMAL
SRD5A1,OPTIMAL
SRD5A3,OPTIMAL
SREBF1,OPTIMAL
SRP19,OPTIMAL
SRP68,OPTIMAL
SRPX2,OPTIMAL
SS18L1,OPTIMAL
SSBP2,OPTIMAL
SSBP4,OPTIMAL
SSH2,OPTIMAL
SSTR1,OPTIMAL
ST3GAL5,OPTIMAL
ST3GAL6,INFEASIBLE
ST7,OPTIMAL
ST8SIA5,OPTIMAL
STAP2,OPTIMAL
STARD3,OPTIMAL
STARD3NL,OPTIMAL
STARD9,OPTIMAL
STAU2,OPTIMAL
STC2,OPTIMAL
STEAP4,INFEASIBLE
STIM1,OPTIMAL
STK11,OPTIMAL
STK11IP,OPTIMAL
STK17A,OPTIMAL
STK26,OPTIMAL
STK38L,OPTIMAL
STK40,OPTIMAL
STOML1,OPTIMAL
STS,OPTIMAL
STX18,OPTIMAL
STX1A,OPTIMAL
STX4,OPTIMAL
STXBP1,OPTIMAL
STXBP3,OPTIMAL
STXBP6,OPTIMAL
STYXL1,OPTIMAL
SUGCT,OPTIMAL
SUGP2,OPTIMAL
SUMF1,OPTIMAL
SUMF2,OPTIMAL
SUPT4H1,OPTIMAL
SUPV3L1,OPTIMAL
SURF6,OPTIMAL
SUSD1,OPTIMAL
SUV39H1,OPTIMAL
SUV39H2,OPTIMAL
SV2A,INFEASIBLE
SVBP,OPTIMAL
SWAP70,OPTIMAL
SYDE1,OPTIMAL
SYMPK,OPTIMAL
SYNGR1,OPTIMAL
SYNM,OPTIMAL
SYNRG,OPTIMAL
SYS1,OPTIMAL
SYT11,OPTIMAL
SYT5,OPTIMAL
SYVN1,OPTIMAL
TAB1,OPTIMAL
TADA2B,OPTIMAL
TAF11,OPTIMAL
TAOK2,OPTIMAL
TAP1,OPTIMAL
TAP2,OPTIMAL
TAPBP,OPTIMAL
TAPT1,OPTIMAL
TARBP1,OPTIMAL
TARBP2,OPTIMAL
TATDN1,OPTIMAL
TATDN2,OPTIMAL
TAX1BP3,OPTIMAL
TBC1D17,OPTIMAL
TBC1D2,OPTIMAL
TBC1D22A,OPTIMAL
TBC1D23,OPTIMAL
TBC1D25,OPTIMAL
TBC1D4,OPTIMAL
TBC1D9B,OPTIMAL
TBCD,OPTIMAL
TBCE,OPTIMAL
TBL3,OPTIMAL
TBP,OPTIMAL
TBX18,OPTIMAL
TBXAS1,OPTIMAL
TCEA2,OPTIMAL
TCEAL7,OPTIMAL
TCF7L1,OPTIMAL
TCF7L2,OPTIMAL
TCTA,OPTIMAL
TCTN1,OPTIMAL
TDRD3,OPTIMAL
TDRD7,OPTIMAL
TEC,OPTIMAL
TECPR1,OPTIMAL
TEFM,OPTIMAL
TELO2,OPTIMAL
TERF2,OPTIMAL
TES,OPTIMAL
TET2,OPTIMAL
TEX2,OPTIMAL
TFB1M,OPTIMAL
TFB2M,OPTIMAL
TFE3,OPTIMAL
TGFB1,OPTIMAL
TGFBI,OPTIMAL
TGIF1,OPTIMAL
TGIF2,OPTIMAL
THAP1,OPTIMAL
THAP3,OPTIMAL
THAP6,OPTIMAL
THAP7,OPTIMAL
THEMIS2,OPTIMAL
THG1L,OPTIMAL
THOC5,OPTIMAL
THOC6,OPTIMAL
THRA,OPTIMAL
THSD4,OPTIMAL
TIA1,OPTIMAL
TICAM1,OPTIMAL
TICRR,OPTIMAL
TIFA,OPTIMAL
TIGD2,INFEASIBLE
TIGD6,OPTIMAL
TIMM17B,OPTIMAL
TIPIN,OPTIMAL
TKFC,OPTIMAL
TLCD1,OPTIMAL
TLE3,OPTIMAL
TLE4,OPTIMAL
TLN2,OPTIMAL
TLR2,OPTIMAL
TM2D1,OPTIMAL
TMCO1,OPTIMAL
TMEM115,OPTIMAL
TMEM116,OPTIMAL
TMEM120A,OPTIMAL
TMEM128,OPTIMAL
TMEM134,OPTIMAL
TMEM143,OPTIMAL
TMEM154,OPTIMAL
TMEM161A,OPTIMAL
TMEM161B,OPTIMAL
TMEM167B,OPTIMAL
TMEM170A,OPTIMAL
TMEM175,OPTIMAL
TMEM177,OPTIMAL
TMEM179B,OPTIMAL
TMEM185B,OPTIMAL
TMEM208,OPTIMAL
TMEM209,OPTIMAL
TMEM220,OPTIMAL
TMEM223,OPTIMAL
TMEM231,OPTIMAL
TMEM234,OPTIMAL
TMEM237,OPTIMAL
TMEM243,OPTIMAL
TMEM39B,OPTIMAL
TMEM41A,OPTIMAL
TMEM42,OPTIMAL
TMEM45A,OPTIMAL
TMEM53,OPTIMAL
TMEM54,OPTIMAL
TMEM60,OPTIMAL
TMEM79,OPTIMAL
TMEM81,OPTIMAL
TMTC1,OPTIMAL
TMUB1,OPTIMAL
TMX4,OPTIMAL
TNFAIP1,OPTIMAL
TNFAIP2,OPTIMAL
TNFAIP3,OPTIMAL
TNFAIP8,OPTIMAL
TNFAIP8L3,OPTIMAL
TNFRSF10A,OPTIMAL
TNFRSF19,OPTIMAL
TNFRSF21,OPTIMAL
TNIP1,OPTIMAL
TNRC18,OPTIMAL
TNXB,OPTIMAL
TOM1L1,OPTIMAL
TOMM40L,OPTIMAL
TONSL,OPTIMAL
TOPORS,OPTIMAL
TOR2A,OPTIMAL
TP53,OPTIMAL
TP53I3,OPTIMAL
TP53RK,OPTIMAL
TPCN1,OPTIMAL
TPK1,OPTIMAL
TRADD,OPTIMAL
TRAF1,OPTIMAL
TRAF2,OPTIMAL
TRAF6,OPTIMAL
TRAF7,OPTIMAL
TRAFD1,OPTIMAL
TRAK1,OPTIMAL
TRAPPC11,OPTIMAL
TRAPPC13,OPTIMAL
TRAPPC2,OPTIMAL
TREX1,OPTIMAL
TRIB2,OPTIMAL
TRIB3,OPTIMAL
TRIM14,OPTIMAL
TRIM16,OPTIMAL
TRIM2,OPTIMAL
TRIM22,OPTIMAL
TRIM23,OPTIMAL
TRIM33,OPTIMAL
TRIM39,OPTIMAL
TRIM58,OPTIMAL
TRIM6,OPTIMAL
TRIM61,OPTIMAL
TRIM65,OPTIMAL
TRIM7,OPTIMAL
TRIP10,OPTIMAL
TRMT1,OPTIMAL
TRMT10B,OPTIMAL
TRMT10C,OPTIMAL
TRMT12,OPTIMAL
TRMT2B,OPTIMAL
TRMT61A,OPTIMAL
TRMT61B,OPTIMAL
TRPT1,INFEASIBLE
TRUB2,OPTIMAL
TSC1,OPTIMAL
TSC22D2,OPTIMAL
TSC22D3,OPTIMAL
TSHZ3,OPTIMAL
TSKU,OPTIMAL
TSPAN13,OPTIMAL
TSPAN14,OPTIMAL
TSTD1,OPTIMAL
TTC12,OPTIMAL
TTC21B,OPTIMAL
TTC23,OPTIMAL
TTC28,OPTIMAL
TTC31,OPTIMAL
TTC32,OPTIMAL
TTC33,OPTIMAL
TTC4,OPTIMAL
TTC8,OPTIMAL
TTC9C,OPTIMAL
TTLL3,OPTIMAL
TUBA4A,OPTIMAL
TUBE1,OPTIMAL
TUBGCP4,OPTIMAL
TUBGCP5,OPTIMAL
TUSC1,OPTIMAL
TUT1,OPTIMAL
TVP23C,OPTIMAL
TWIST1,OPTIMAL
TXNIP,OPTIMAL
TXNRD2,OPTIMAL
TYK2,OPTIMAL
TYRO3,OPTIMAL
TYSND1,OPTIMAL
TYW5,OPTIMAL
UBAC1,OPTIMAL
UBAC2,OPTIMAL
UBAP1,OPTIMAL
UBE2D1,OPTIMAL
UBE2E2,OPTIMAL
UBE2F,OPTIMAL
UBE2H,OPTIMAL
UBE2V1,OPTIMAL
UBE2W,OPTIMAL
UBE3C,OPTIMAL
UBE3D,OPTIMAL
UBN2,TIME_LIMIT
UBOX5,INFEASIBLE
UBR5,OPTIMAL
UBTD1,OPTIMAL
UBXN8,OPTIMAL
UCHL3,OPTIMAL
UFL1,OPTIMAL
ULK2,OPTIMAL
UMPS,OPTIMAL
UNC13B,OPTIMAL
UNC5B,OPTIMAL
UNC93B1,OPTIMAL
UNKL,OPTIMAL
UPF3B,OPTIMAL
UQCC3,OPTIMAL
URB1,OPTIMAL
URB2,OPTIMAL
UROS,OPTIMAL
USE1,OPTIMAL
USP11,OPTIMAL
USP12,OPTIMAL
USP20,OPTIMAL
USP21,OPTIMAL
USP28,OPTIMAL
USP3,OPTIMAL
USP30,OPTIMAL
USP32,OPTIMAL
USP33,OPTIMAL
USP42,OPTIMAL
USP54,OPTIMAL
USPL1,OPTIMAL
UST,OPTIMAL
UTY,OPTIMAL
UVSSA,INFEASIBLE
VAMP2,OPTIMAL
VAV2,OPTIMAL
VBP1,OPTIMAL
VCPKMT,OPTIMAL
VEGFC,OPTIMAL
VIPAS39,OPTIMAL
VLDLR,OPTIMAL
VPS13A,OPTIMAL
VPS13B,OPTIMAL
VPS18,OPTIMAL
VPS25,OPTIMAL
VPS26B,OPTIMAL
VPS33B,OPTIMAL
VPS37C,OPTIMAL
VPS72,OPTIMAL
VTI1A,OPTIMAL
WARS2,OPTIMAL
WASH6P,OPTIMAL
WDR20,OPTIMAL
WDR27,OPTIMAL
WDR33,OPTIMAL
WDR41,OPTIMAL
WDR46,OPTIMAL
WDR6,OPTIMAL
WDR70,OPTIMAL
