,MIR199A1_All_d3_c95_status
ECHDC2,INFEASIBLE
ECHDC3,OPTIMAL
ECM1,OPTIMAL
EDA2R,OPTIMAL
EED,OPTIMAL
EEFSEC,OPTIMAL
EFCAB11,OPTIMAL
EFCAB2,OPTIMAL
EFNB1,OPTIMAL
EFS,OPTIMAL
EHBP1L1,OPTIMAL
EHD1,OPTIMAL
EHHADH,OPTIMAL
EIF1AD,OPTIMAL
EIF2B2,OPTIMAL
EIF4A1,OPTIMAL
ELL2,OPTIMAL
ELMOD3,OPTIMAL
EMC2,OPTIMAL
EME1,OPTIMAL
EMILIN1,OPTIMAL
EML1,OPTIMAL
EML6,OPTIMAL
EMX2,OPTIMAL
EN1,OPTIMAL
ENDOD1,OPTIMAL
ENDOV,OPTIMAL
ENGASE,OPTIMAL
ENKD1,OPTIMAL
ENO2,OPTIMAL
ENOPH1,OPTIMAL
ENOX2,OPTIMAL
ENPP4,OPTIMAL
ENTPD7,INFEASIBLE
EPB41L2,OPTIMAL
EPC1,OPTIMAL
EPHB2,OPTIMAL
EPHB4,OPTIMAL
EPHB6,INFEASIBLE
EPM2AIP1,OPTIMAL
EPN1,OPTIMAL
EPOR,OPTIMAL
EPS8L1,OPTIMAL
ERAP2,OPTIMAL
ERBB2,OPTIMAL
ERCC4,OPTIMAL
ERCC6L,OPTIMAL
ERCC8,OPTIMAL
ERGIC2,OPTIMAL
ERN1,OPTIMAL
ESCO2,OPTIMAL
ESPL1,OPTIMAL
ETFDH,OPTIMAL
ETHE1,OPTIMAL
ETS2,OPTIMAL
ETV2,INFEASIBLE
ETV6,OPTIMAL
EVA1C,OPTIMAL
EVC2,OPTIMAL
EVI5,OPTIMAL
EXO1,OPTIMAL
EXO5,OPTIMAL
EXOC7,OPTIMAL
EXOSC2,OPTIMAL
EXOSC5,OPTIMAL
FAAP100,OPTIMAL
FAAP24,OPTIMAL
FADD,OPTIMAL
FAM111B,OPTIMAL
FAM118A,OPTIMAL
FAM118B,OPTIMAL
FAM120C,OPTIMAL
FAM131A,OPTIMAL
FAM13A,OPTIMAL
FAM162A,OPTIMAL
FAM171B,OPTIMAL
FAM174A,OPTIMAL
FAM184A,INFEASIBLE
FAM200A,OPTIMAL
FAM216A,OPTIMAL
FAM217B,OPTIMAL
