,counts_d4_c95_status,counts_d4_c95_correlation,counts_d4_c50_status,counts_d4_c50_correlation,counts_d4_c25_status,counts_d4_c25_correlation
ACAT2,OPTIMAL,-0.027380643542681438,OPTIMAL,-0.058708411783774166,OPTIMAL,-0.0037198432786975885
ACBD3,OPTIMAL,-0.3792653057120502,OPTIMAL,-0.020347046707244076,CUT_LIMIT,
ACBD5,OPTIMAL,-0.7920614490112516,OPTIMAL,-0.0715430367912681,OPTIMAL,-0.06405214583300868
ACBD6,OPTIMAL,-0.11272428627868827,OPTIMAL,0.1104531440550055,OPTIMAL,0.0941109859228108
ACD,CUT_LIMIT,,OPTIMAL,0.11629501176711146,OPTIMAL,0.09874660545780324
ACER3,OPTIMAL,-0.13506999292279476,OPTIMAL,-0.10593594692177292,OPTIMAL,-0.09713071972860465
ACIN1,OPTIMAL,-0.28928639053442445,OPTIMAL,-0.08380728861776317,OPTIMAL,-0.09444999229152819
ACLY,CUT_LIMIT,,CUT_LIMIT,,OPTIMAL,0.0865892506618748
ACO1,OPTIMAL,-0.441747893465299,OPTIMAL,0.0496778854494255,OPTIMAL,-0.003993077921779482
ACO2,OPTIMAL,-0.11096882902131379,OPTIMAL,-0.06556508598760584,OPTIMAL,-0.04065208906914468
ACOT1,OPTIMAL,0.04106236483106223,OPTIMAL,0.02512782065201469,OPTIMAL,-0.02316981495573894
ACOT13,OPTIMAL,-0.47366309473138957,OPTIMAL,-0.12895950180828802,OPTIMAL,-0.12432694046232654
ACOT2,OPTIMAL,0.12261703738926523,CUT_LIMIT,,OPTIMAL,0.04056293752742675
ACOT7,CUT_LIMIT,,OPTIMAL,0.06892510044144659,OPTIMAL,0.005513042421022596
ACOT8,CUT_LIMIT,,CUT_LIMIT,,OPTIMAL,-0.05670167311868596
ACOT9,OPTIMAL,-0.38851258546141443,OPTIMAL,-0.06753122284977424,CUT_LIMIT,
ACOX1,OPTIMAL,-0.8811678146655718,OPTIMAL,-0.06317548990496027,INFEASIBLE,
ACOX3,OPTIMAL,-0.016164245812063386,OPTIMAL,-0.0006225459081312342,OPTIMAL,-0.007825005727876087
