,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
ADD3,OPTIMAL,1.0282685293819494e-07,INFEASIBLE,
ADGRA2,OPTIMAL,-0.357135943020781,INFEASIBLE,
ADGRA3,OPTIMAL,-0.27767199064509446,INFEASIBLE,
ADGRE5,INFEASIBLE,,INFEASIBLE,
ADGRG2,OPTIMAL,-0.3999136398902373,OPTIMAL,-0.25163662365951484
ADGRL2,INFEASIBLE,,INFEASIBLE,
ADGRL4,OPTIMAL,3.871405768889589e-08,INFEASIBLE,
ADH5,INFEASIBLE,,INFEASIBLE,
ADI1,INFEASIBLE,,INFEASIBLE,
ADIPOR1,INFEASIBLE,,INFEASIBLE,
ADIPOR2,INFEASIBLE,,INFEASIBLE,
ADK,INFEASIBLE,,INFEASIBLE,
ADM,INFEASIBLE,,INFEASIBLE,
ADM5,OPTIMAL,-0.039504617486531196,INFEASIBLE,
ADNP,INFEASIBLE,,INFEASIBLE,
ADNP2,INFEASIBLE,,INFEASIBLE,
ADO,INFEASIBLE,,INFEASIBLE,
ADORA2B,OPTIMAL,-0.29116744728937016,INFEASIBLE,
ADPGK,INFEASIBLE,,INFEASIBLE,
ADRA1B,OPTIMAL,-0.16801648034292746,OPTIMAL,3.0538252612166215e-07
ADRB1,OPTIMAL,-0.2648072271471708,INFEASIBLE,
ADRB2,INFEASIBLE,,INFEASIBLE,
ADRM1,INFEASIBLE,,INFEASIBLE,
ADSL,INFEASIBLE,,INFEASIBLE,
AEBP1,INFEASIBLE,,INFEASIBLE,
AEBP2,OPTIMAL,-1.5076990571057516e-08,INFEASIBLE,
AEN,INFEASIBLE,,INFEASIBLE,
AFAP1,INFEASIBLE,,INFEASIBLE,
AFAP1L1,OPTIMAL,-0.29883986017268815,INFEASIBLE,
AFF1,INFEASIBLE,,INFEASIBLE,
AFF4,INFEASIBLE,,INFEASIBLE,
AFG3L2,INFEASIBLE,,INFEASIBLE,
AFMID,OPTIMAL,-0.1986411053795054,INFEASIBLE,
AFTPH,OPTIMAL,-0.25197404316320643,INFEASIBLE,
AGA,OPTIMAL,-0.23030499639437926,INFEASIBLE,
AGAP1,OPTIMAL,-0.2907715824373821,INFEASIBLE,
AGAP3,INFEASIBLE,,INFEASIBLE,
AGAP6,OPTIMAL,-0.16354799125709304,OPTIMAL,2.955914796581366e-06
AGBL5,OPTIMAL,-0.41642668208890227,INFEASIBLE,
AGFG1,INFEASIBLE,,INFEASIBLE,
AGFG2,OPTIMAL,-0.24675308065298457,OPTIMAL,-0.13080129012411823
AGGF1,INFEASIBLE,,INFEASIBLE,
AGK,OPTIMAL,-0.17876971582000148,INFEASIBLE,
AGL,OPTIMAL,1.559877710256404e-08,OPTIMAL,6.381000984636263e-07
AGO1,INFEASIBLE,,INFEASIBLE,
AGO2,INFEASIBLE,,INFEASIBLE,
AGO3,OPTIMAL,-0.5455946293200442,INFEASIBLE,
AGO4,OPTIMAL,-0.2199887159916596,OPTIMAL,-0.1435314879744378
AGPAT1,OPTIMAL,5.417749516847431e-08,INFEASIBLE,
AGPAT2,INFEASIBLE,,INFEASIBLE,
AGPAT3,INFEASIBLE,,INFEASIBLE,
AGPAT4,OPTIMAL,-1.0467221047451381e-08,INFEASIBLE,
AGPAT5,INFEASIBLE,,INFEASIBLE,
AGPS,INFEASIBLE,,INFEASIBLE,
AGTPBP1,OPTIMAL,-0.31525094553745925,INFEASIBLE,
AGTRAP,OPTIMAL,-0.1885358597501869,INFEASIBLE,
AHCTF1,INFEASIBLE,,INFEASIBLE,
AHCY,INFEASIBLE,,INFEASIBLE,
AHCYL1,INFEASIBLE,,INFEASIBLE,
AHDC1,OPTIMAL,2.71023856553488e-08,INFEASIBLE,
AHI1,INFEASIBLE,,INFEASIBLE,
AHNAK,INFEASIBLE,,INFEASIBLE,
AHNAK2,INFEASIBLE,,INFEASIBLE,
AHR,INFEASIBLE,,INFEASIBLE,
AHRR,OPTIMAL,-0.4529453823646859,INFEASIBLE,
AHSA1,INFEASIBLE,,INFEASIBLE,
AIDA,INFEASIBLE,,INFEASIBLE,
AIFM1,INFEASIBLE,,INFEASIBLE,
AIFM2,INFEASIBLE,,INFEASIBLE,
AIG1,OPTIMAL,1.1395539289665148e-08,INFEASIBLE,
AIMP1,INFEASIBLE,,INFEASIBLE,
AIMP2,OPTIMAL,2.0091115783611525e-08,INFEASIBLE,
AIP,INFEASIBLE,,INFEASIBLE,
AJUBA,OPTIMAL,-0.3665535437135253,INFEASIBLE,
AK1,OPTIMAL,-0.23835294244389207,INFEASIBLE,
AK2,INFEASIBLE,,INFEASIBLE,
AK3,INFEASIBLE,,INFEASIBLE,
AK4,OPTIMAL,-0.3235896852984244,INFEASIBLE,
AK5,INFEASIBLE,,INFEASIBLE,
AK6,INFEASIBLE,,INFEASIBLE,
AKAP1,INFEASIBLE,,INFEASIBLE,
AKAP10,OPTIMAL,1.343102148019717e-07,INFEASIBLE,
AKAP11,INFEASIBLE,,INFEASIBLE,
AKAP12,INFEASIBLE,,INFEASIBLE,
AKAP13,INFEASIBLE,,INFEASIBLE,
AKAP17A,OPTIMAL,-0.13800114843034475,INFEASIBLE,
AKAP7,OPTIMAL,4.6725095085663655e-08,INFEASIBLE,
AKAP8,INFEASIBLE,,INFEASIBLE,
AKAP8L,OPTIMAL,-0.201300656146699,OPTIMAL,-0.11409728398273278
AKAP9,INFEASIBLE,,INFEASIBLE,
AKIP1,INFEASIBLE,,INFEASIBLE,
AKIRIN1,INFEASIBLE,,INFEASIBLE,
AKIRIN2,INFEASIBLE,,INFEASIBLE,
AKNA,OPTIMAL,1.6955044548287374e-08,INFEASIBLE,
AKR1A1,INFEASIBLE,,INFEASIBLE,
AKR1B1,INFEASIBLE,,INFEASIBLE,
AKR1C1,INFEASIBLE,,INFEASIBLE,
AKR1C2,INFEASIBLE,,INFEASIBLE,
AKR1C3,INFEASIBLE,,INFEASIBLE,
AKR1E2,OPTIMAL,-0.29949219438674307,INFEASIBLE,
AKR7A2,INFEASIBLE,,INFEASIBLE,
AKT1,OPTIMAL,9.812011876998151e-08,INFEASIBLE,
AKT1S1,OPTIMAL,2.7855918800457046e-08,INFEASIBLE,
AKT2,INFEASIBLE,,INFEASIBLE,
AKT3,OPTIMAL,-0.21415036480624536,INFEASIBLE,
AKTIP,OPTIMAL,5.380787787739014e-08,INFEASIBLE,
ALAD,OPTIMAL,-0.6963090867020257,INFEASIBLE,
ALAS1,OPTIMAL,-0.3428433546102938,INFEASIBLE,
ALCAM,INFEASIBLE,,INFEASIBLE,
ALDH16A1,OPTIMAL,3.918521622866817e-08,INFEASIBLE,
ALDH18A1,INFEASIBLE,,INFEASIBLE,
ALDH1B1,INFEASIBLE,,INFEASIBLE,
ALDH1L2,INFEASIBLE,,INFEASIBLE,
ALDH2,OPTIMAL,-0.19885901426987795,OPTIMAL,-0.13335634376034797
ALDH3A2,INFEASIBLE,,INFEASIBLE,
ALDH3B1,INFEASIBLE,,INFEASIBLE,
ALDH6A1,OPTIMAL,-0.22540656748565557,OPTIMAL,-0.12764705491517733
ALDH7A1,INFEASIBLE,,INFEASIBLE,
ALDH9A1,INFEASIBLE,,INFEASIBLE,
ALDOA,INFEASIBLE,,INFEASIBLE,
ALG1,OPTIMAL,-0.3699493738944349,INFEASIBLE,
ALG11,OPTIMAL,-1.443429990101553e-08,INFEASIBLE,
ALG13,OPTIMAL,1.3061845118964881e-06,INFEASIBLE,
ALG14,OPTIMAL,-0.19763863735378953,INFEASIBLE,
ALG2,OPTIMAL,-0.3064718482065378,INFEASIBLE,
ALG3,INFEASIBLE,,INFEASIBLE,
ALG5,INFEASIBLE,,INFEASIBLE,
ALG6,OPTIMAL,-0.20176291440518648,INFEASIBLE,
ALG8,INFEASIBLE,,INFEASIBLE,
ALG9,OPTIMAL,-0.5236121891245242,INFEASIBLE,
ALKBH1,OPTIMAL,-0.24178805229240402,INFEASIBLE,
ALKBH2,INFEASIBLE,,INFEASIBLE,
ALKBH3,INFEASIBLE,,INFEASIBLE,
ALKBH5,INFEASIBLE,,INFEASIBLE,
ALKBH7,INFEASIBLE,,INFEASIBLE,
ALKBH8,OPTIMAL,-0.2058110967022556,INFEASIBLE,
ALMS1,OPTIMAL,-1.0445034264567022e-08,INFEASIBLE,
ALPK1,OPTIMAL,-4.305582311401687e-09,OPTIMAL,-4.964881818847371e-06
ALPK2,OPTIMAL,-0.2004458916183552,OPTIMAL,-0.0946420932445143
ALS2,OPTIMAL,3.4338640725323046e-08,INFEASIBLE,
ALYREF,INFEASIBLE,,INFEASIBLE,
AMBRA1,OPTIMAL,1.908477102216637e-08,INFEASIBLE,
AMD1,INFEASIBLE,,INFEASIBLE,
