,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
AP2A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3D1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3M2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3S2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP4B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP4E1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP4M1,OPTIMAL,-0.2761096230496221,INFEASIBLE,,INFEASIBLE,
AP5B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP5M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP5S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP5Z1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APAF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APBA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APBA3,OPTIMAL,-0.1428738151499066,INFEASIBLE,,INFEASIBLE,
APBB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APBB2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APC,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APCDD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APEH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APEX1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APEX2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APH1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APH1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
API5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APLP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APMAP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3G,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOD,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOL6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOLD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOO,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOOL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APPBP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APPL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APPL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APRT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APTX,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AQP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AQR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AR,OPTIMAL,-0.991187053896248,INFEASIBLE,,INFEASIBLE,
ARAF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARCN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AREL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGEF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGEF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFIP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFIP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFRP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARGLU1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP11A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP11B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP18,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP19,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP21,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP22,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP23,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP24,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP29,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP31,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP32,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP35,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGDIA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF10L,OPTIMAL,-0.0285536526448619,INFEASIBLE,,INFEASIBLE,
ARHGEF11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF19,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF26,OPTIMAL,-0.1208167533521274,OPTIMAL,-0.3725260923814086,INFEASIBLE,
ARHGEF28,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF39,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF40,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID3A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID4A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID4B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID5B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARIH1,OPTIMAL,7.891260659535438e-09,INFEASIBLE,,INFEASIBLE,
ARIH2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL13B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL14EP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL16,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL4A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL4C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL4D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL5A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL5B,OPTIMAL,-0.2406273706858269,OPTIMAL,0.0,INFEASIBLE,
ARL6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL6IP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL6IP5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL6IP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL8A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL8B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC5,OPTIMAL,-0.288654417130241,OPTIMAL,-0.2572645853048185,INFEASIBLE,
ARMC6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMCX1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMCX2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMCX3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMCX4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMCX6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARNT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC5L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPIN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPP19,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARRB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARRB2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARRDC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARRDC2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARRDC3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARSA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARSB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARSD,OPTIMAL,-6.895767666062144e-11,INFEASIBLE,,INFEASIBLE,
ARSJ,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARSK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARV1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASAH1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASAH2B,OPTIMAL,-0.2554161376517212,OPTIMAL,-0.2897945633917752,INFEASIBLE,
ASAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASCC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASCC2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASCC3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASF1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASF1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASH1L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASH2L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASMTL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASNS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASNSD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASPH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASPM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASPSCR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASTE1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASXL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASXL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD2B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD3A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD3B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATE1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF6B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF7IP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG14,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG16L1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG2A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG2B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG4A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG4B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG4C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG9A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATIC,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATL2,OPTIMAL,-0.1169801552635753,INFEASIBLE,,INFEASIBLE,
ATL3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATMIN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATN1,OPTIMAL,3.005758688986013e-09,INFEASIBLE,,INFEASIBLE,
ATOH8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATOX1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP10A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP10D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP11A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP11B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP11C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP13A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP13A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP13A3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP1A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP1B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP1B3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP2A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP2B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP2B4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP2C1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6AP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6AP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V0A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V0A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V0B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V0D1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V0E1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V0E2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1B2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1C1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1E1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1F,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1G1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP6V1H,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP7A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP8A2,OPTIMAL,-0.2981222191418189,CUT_LIMIT,,OPTIMAL,1.5661299766333947e-09
ATP8B1,OPTIMAL,-0.4268252270566266,INFEASIBLE,,INFEASIBLE,
ATP8B2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP9A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATP9B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATPAF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATPAF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATRAID,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATRIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATRN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATRX,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN1L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN2L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN7L1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN7L3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATXN7L3B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AUH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AUNIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AUP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AURKA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AURKAIP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AURKB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AUTS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AVEN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AVL9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AVPI1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AXIN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AXIN2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AXL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AZI2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AZIN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B2M,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GALNT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GALNT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GALT6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GAT3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GLCT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GNT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GNT5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GNT9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B3GNTL1,OPTIMAL,-0.1647766440348266,INFEASIBLE,,INFEASIBLE,
B4GALT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B4GALT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B4GALT3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B4GALT4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B4GALT5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B4GALT7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B4GAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B9D1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
B9D2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BABAM1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BACE1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BACE2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BACH1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAD,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAG2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAG3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAG4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAG5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAG6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAHCC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAHD1,OPTIMAL,-0.1519720796950325,INFEASIBLE,,INFEASIBLE,
BAIAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAIAP2L2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAK1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BANF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BANP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BARD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BASP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BATF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAX,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAZ1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAZ1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAZ2A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BAZ2B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BBIP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BBS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BBS4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BBS7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BBS9,OPTIMAL,-1.2075280796088406e-07,OPTIMAL,-0.3218441343410211,INFEASIBLE,
BBX,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAP29,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAP31,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAR3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAS3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAS4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCCIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCDIN3D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCKDHB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCKDK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL2L1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL2L12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL2L13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL2L2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL3,OPTIMAL,-2.4296322674612053e-09,INFEASIBLE,,INFEASIBLE,
BCL6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL7A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL7B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
BCL7C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
