,outlier_rho,outlier_p1,outlier_p2,outlier_lb,outlier_ub,counts_rho,counts_p1,counts_p2,counts_lb,counts_ub,concentrations_rho,concentrations_p1,concentrations_p2,concentrations_lb,concentrations_ub,counts_c95_lb,counts_c95_ub,counts_c50_lb,counts_c50_ub,counts_c25_lb,counts_c25_ub
THNSL1,-0.01649752545041703,0.39210072801282236,0.784201456025637,-0.05478308461930209,0.0636909532681248,-0.009620383762684415,0.4366789417300096,0.873357883460017,-0.0635650585649507,0.10120685369524968,-0.037966421602151704,0.2645905082535566,0.5291810165071034,-0.07267806820811204,0.02451017722586031,-0.06663025902155488,0.08298969694552273,-0.044780434217588996,0.010345204955696543,-0.03156746783205545,-0.004945631014022943
THOC1,-0.020316292334068852,0.3679646661945264,0.7359293323890447,-0.0669419377842394,0.07831661088807203,0.004068535313790975,0.5268715484976287,0.9462569030047435,-0.05837149165364056,0.12043757751727507,-0.04915351267010162,0.2075731324821118,0.4151462649642146,-0.11290303751110507,0.030653384669161773,-0.06319389898777047,0.12376749879673779,-0.029533306633695966,0.029260848532479972,-0.009186366288705212,0.018061394183768537
THOC2,0.780793815523108,1.0,2.5699817673197203e-58,-0.05137260514668848,0.9604435174119852,0.033238564015363466,0.709131955096664,0.5817360898066728,-0.07294039560922061,0.21814749067641315,-0.02039986621478914,0.3676735708245206,0.7353471416490391,-0.11147046087434045,0.11229450123715895,-0.08109367913619112,0.2395171081270845,-0.007932475684924332,0.08535138154229803,0.013158944962625695,0.05728857700540138
THOC3,0.02490407285086289,0.6603531290152156,0.6792937419695694,-0.07711646806078881,0.18987245446840026,0.08591009555453194,0.923065953628001,0.1538680927439985,-0.07439927090772765,0.23345090090363582,-0.025796270760395257,0.3345202674741548,0.6690405349483122,-0.12300755761731247,0.07780808150889938,-0.08833268512251591,0.23655782759304125,0.01678170759955739,0.12682610254701576,0.04639158190034852,0.09940383241353613
THOC5,-0.05330666583899551,0.18796379230517785,0.37592758461035447,-0.08895702085500193,-0.029894973848159277,-0.06371627941079333,0.14531765317021378,0.29063530634042717,-0.09580285170493029,-0.02809332407020181,-0.05317037119423774,0.18900917967443648,0.3780183593488732,-0.11274142909522604,0.014929293925182106,-0.10061122706008087,-0.02861218871003607,-0.07795427924574079,-0.05551360558143369,-0.0703890591249291,-0.06041660771226415
THOC6,-0.026575960328307377,0.32953728659352355,0.6590745731870457,-0.07119209905047837,0.05343718559435585,-0.018789753536311612,0.3777721579331946,0.7555443158663878,-0.07698374675456363,0.07466133584420946,-0.0392949700830116,0.2574287346592055,0.5148574693184116,-0.08970124479792195,0.03316074551352671,-0.07295097998309885,0.06190003063737764,-0.04088297225330991,0.010120170222060344,-0.030794835006201077,-0.011817550727727697
THOC7,0.021374495587886393,0.6386373404780197,0.7227253190439592,-0.09323596082268457,0.2346186310543649,0.0980153699983154,0.9482212230624243,0.10355755387515134,-0.07859921377917414,0.2353290411198595,-0.041268734775346934,0.24697679831726518,0.4939535966345251,-0.17010130876591878,0.09203561964222938,-0.07429942953532374,0.24017930137182392,0.03885120531465986,0.13960201347346335,0.06035808661370883,0.11866968709783438
THOP1,0.002173094820544043,0.5143865365201667,0.971226926959667,-0.06718685511046045,0.1782478134310012,0.029466339454908265,0.6873334419284203,0.6253331161431607,-0.07846022662324569,0.23098152226902108,-0.011584657412671836,0.42389394175725403,0.8477878835145064,-0.09616642408315536,0.11042801898986665,-0.07621702555525767,0.23149516503439307,-0.047166058891487124,0.07392860037538944,-0.021284539983449247,0.04460244213429127
THRA,-0.042721765504240165,0.23902925609160058,0.4780585121832073,-0.0693938985364935,-0.03325077174091323,-0.05144146712536318,0.1968712777383126,0.39374255547662507,-0.07387817252690834,-0.036331599721946925,-0.057919552384528034,0.1684217233008784,0.33684344660175586,-0.0814696330456587,-0.04397777191913426,-0.07263311094369135,-0.03845573389563079,-0.05796998036004902,-0.047107551632281815,-0.057772061523930995,-0.05177990488952877
THRAP3,0.7549738280223183,1.0,1.6697826958064963e-52,0.012127688802188688,0.9169794970635841,0.0860653190516055,0.9234385102751095,0.1531229794497806,-0.002032476014807753,0.22504743395598817,-0.05938608242368386,0.16236575076878107,0.32473150153756175,-0.1583746132126101,0.05038589070443844,0.002955879637034164,0.22122790714180893,0.05199776378315707,0.13281063679066213,0.0732719384751653,0.10569471981856668
THRB,0.16414171915009806,0.9969567766401685,0.006086446719663189,-0.043110845293763626,0.4677221332835336,0.28672310236904375,0.9999993910822199,1.2178355601283374e-06,-0.048143407856354646,0.6168729455227556,0.08350385661431868,0.9171140499755343,0.1657719000489319,-0.07389983490595124,0.3486979517351059,-0.042287914677822794,0.6073284692867699,0.082829391326229,0.3969517994144321,0.23248796408146036,0.3357361273705257
THSD1,-0.022144820381040986,0.3565822574301134,0.7131645148602254,-0.055726237708997844,0.001082022753130217,-0.03448055640318373,0.28384877105178485,0.5676975421035692,-0.05989306941324064,-0.006513180399299284,-0.04989022411864704,0.20409042147332565,0.4081808429466578,-0.07197928191462095,-0.024723782541186793,-0.06310894324906004,-0.006986201735170614,-0.04419811527230728,-0.02650705445231346,-0.039519074842491966,-0.0319960400405167
