,MIR222_d22_t30_ct100_status,MIR222_d22_t30_ct100_times,MIR222_d22_t30_ct100_cuts,MIR222_d33_t30_ct100_status,MIR222_d33_t30_ct100_times,MIR222_d33_t30_ct100_cuts,MIR222_d44_t30_ct100_status,MIR222_d44_t30_ct100_times,MIR222_d44_t30_ct100_cuts,MIR222_d23_t30_ct100_status,MIR222_d23_t30_ct100_times,MIR222_d23_t30_ct100_cuts,MIR222_d24_t30_ct100_status,MIR222_d24_t30_ct100_times,MIR222_d24_t30_ct100_cuts,MIR222_d22_t30_ct1000_status,MIR222_d22_t30_ct1000_times,MIR222_d22_t30_ct1000_cuts,MIR222_d33_t30_ct1000_status,MIR222_d33_t30_ct1000_times,MIR222_d33_t30_ct1000_cuts,MIR222_d44_t30_ct1000_status,MIR222_d44_t30_ct1000_times,MIR222_d44_t30_ct1000_cuts,MIR222_d23_t30_ct1000_status,MIR222_d23_t30_ct1000_times,MIR222_d23_t30_ct1000_cuts,MIR222_d24_t30_ct1000_status,MIR222_d24_t30_ct1000_times,MIR222_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct100_status,MIR199A1_d22_t30_ct100_times,MIR199A1_d22_t30_ct100_cuts,MIR199A1_d33_t30_ct100_status,MIR199A1_d33_t30_ct100_times,MIR199A1_d33_t30_ct100_cuts,MIR199A1_d44_t30_ct100_status,MIR199A1_d44_t30_ct100_times,MIR199A1_d44_t30_ct100_cuts,MIR199A1_d23_t30_ct100_status,MIR199A1_d23_t30_ct100_times,MIR199A1_d23_t30_ct100_cuts,MIR199A1_d24_t30_ct100_status,MIR199A1_d24_t30_ct100_times,MIR199A1_d24_t30_ct100_cuts,MIR199A1_d44_t30_ct1000_status,MIR199A1_d44_t30_ct1000_times,MIR199A1_d44_t30_ct1000_cuts,MIR199A1_d33_t30_ct1000_status,MIR199A1_d33_t30_ct1000_times,MIR199A1_d33_t30_ct1000_cuts,MIR199A1_d22_t30_ct1000_status,MIR199A1_d22_t30_ct1000_times,MIR199A1_d22_t30_ct1000_cuts,MIR199A1_d23_t30_ct1000_status,MIR199A1_d23_t30_ct1000_times,MIR199A1_d23_t30_ct1000_cuts,MIR199A1_d24_t30_ct1000_status,MIR199A1_d24_t30_ct1000_times,MIR199A1_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct10000_status,MIR199A1_d22_t30_ct10000_times,MIR199A1_d22_t30_ct10000_cuts,MIR199A1_d33_t30_ct10000_status,MIR199A1_d33_t30_ct10000_times,MIR199A1_d33_t30_ct10000_cuts,MIR199A1_d44_t30_ct10000_status,MIR199A1_d44_t30_ct10000_times,MIR199A1_d44_t30_ct10000_cuts,MIR199A1_d23_t30_ct10000_status,MIR199A1_d23_t30_ct10000_times,MIR199A1_d23_t30_ct10000_cuts,MIR199A1_d24_t30_ct10000_status,MIR199A1_d24_t30_ct10000_times,MIR199A1_d24_t30_ct10000_cuts
ADAR,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.009999990463256836,16,CUT_LIMIT,0.045000553131103516,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.0,0,OPTIMAL,0.010999917984008789,16,CUT_LIMIT,0.5510013103485107,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.01699972152709961,3,OPTIMAL,0.009000301361083984,17,OPTIMAL,0.014000177383422852,38,OPTIMAL,0.013000011444091797,3,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0,0,OPTIMAL,0.014999866485595703,17,OPTIMAL,0.015000343322753906,38,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.006000041961669922,3,OPTIMAL,0.012000799179077148,17,OPTIMAL,0.020000696182250977,38
ADARB1,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.002000093460083008,1,INFEASIBLE,0.0,0,OPTIMAL,0.014999866485595703,16,OPTIMAL,0.020999908447265625,62,OPTIMAL,0.010999917984008789,0,OPTIMAL,0.002000093460083008,1,INFEASIBLE,0.0,0,OPTIMAL,0.017000198364257812,16,OPTIMAL,0.03399991989135742,62,OPTIMAL,0.003000020980834961,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.023000001907348633,17,OPTIMAL,0.017999887466430664,38,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.015999794006347656,17,OPTIMAL,0.016999244689941406,38,OPTIMAL,0.002000093460083008,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.01699972152709961,17,OPTIMAL,0.017000436782836914,38
ADAT1,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.009999990463256836,16,OPTIMAL,0.028000593185424805,78,OPTIMAL,0.0029997825622558594,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.010999917984008789,16,OPTIMAL,0.023000001907348633,78,OPTIMAL,0.0,0,OPTIMAL,0.003999948501586914,4,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.01399993896484375,15,OPTIMAL,0.03899979591369629,86,OPTIMAL,0.004000186920166016,0,OPTIMAL,0.003999948501586914,4,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,15,OPTIMAL,0.014999628067016602,86,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003999948501586914,4,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.003000020980834961,15,OPTIMAL,0.023000478744506836,86
ADAT2,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.018000125885009766,2,OPTIMAL,0.010999917984008789,14,OPTIMAL,0.017000675201416016,63,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.017999887466430664,2,OPTIMAL,0.014999866485595703,14,OPTIMAL,0.023000001907348633,63,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,4,OPTIMAL,0.006999969482421875,3,OPTIMAL,0.009000062942504883,15,CUT_LIMIT,0.01999974250793457,100,OPTIMAL,0.0070002079010009766,3,OPTIMAL,0.0010001659393310547,4,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,15,CUT_LIMIT,0.45600223541259766,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,4,OPTIMAL,0.006000041961669922,3,OPTIMAL,0.003000020980834961,15,CUT_LIMIT,29.978013038635254,10000
ADCK2,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.037000179290771484,8,OPTIMAL,0.010999679565429688,15,OPTIMAL,0.021000146865844727,64,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.037999629974365234,8,OPTIMAL,0.013000011444091797,15,OPTIMAL,0.021999597549438477,64,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0010001659393310547,0,INFEASIBLE,0.0,0,OPTIMAL,0.017999649047851562,17,OPTIMAL,0.009000062942504883,40,INFEASIBLE,0.0,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.014999628067016602,17,OPTIMAL,0.013999700546264648,40,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.004000186920166016,0,INFEASIBLE,0.0,0,OPTIMAL,0.010999917984008789,17,OPTIMAL,0.020999670028686523,40
ADCK5,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0029997825622558594,4,OPTIMAL,0.02200031280517578,4,OPTIMAL,0.00500035285949707,17,CUT_LIMIT,0.04800081253051758,100,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,4,OPTIMAL,0.023000001907348633,4,OPTIMAL,0.005999565124511719,17,CUT_LIMIT,0.520998477935791,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004000186920166016,3,OPTIMAL,0.01399993896484375,2,OPTIMAL,0.011999845504760742,17,OPTIMAL,0.01199960708618164,41,OPTIMAL,0.013000011444091797,2,OPTIMAL,0.0039997100830078125,3,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.010999917984008789,17,OPTIMAL,0.018999814987182617,41,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.005000114440917969,3,OPTIMAL,0.01100015640258789,2,OPTIMAL,0.013000011444091797,17,OPTIMAL,0.01799917221069336,41
ADCY3,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.02200007438659668,3,OPTIMAL,0.0,0,OPTIMAL,0.003999948501586914,15,CUT_LIMIT,0.029999494552612305,100,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.004000186920166016,3,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.003000020980834961,15,CUT_LIMIT,0.5149989128112793,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.015000104904174805,16,OPTIMAL,0.01199960708618164,41,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.03400015830993652,16,OPTIMAL,0.008999824523925781,41,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0,1,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.01600027084350586,16,OPTIMAL,0.01900005340576172,41
ADCY7,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0010001659393310547,1,OPTIMAL,0.003000020980834961,0,CUT_LIMIT,0.01600027084350586,100,CUT_LIMIT,0.04300045967102051,100,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0009999275207519531,1,OPTIMAL,0.004999876022338867,0,CUT_LIMIT,0.04000091552734375,1000,CUT_LIMIT,0.5230002403259277,1000,OPTIMAL,0.002000093460083008,0,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,OPTIMAL,0.009999990463256836,16,CUT_LIMIT,0.03000020980834961,100,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.015000104904174805,16,CUT_LIMIT,0.501000165939331,1000,OPTIMAL,0.0010001659393310547,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.018999814987182617,16,TOTAL_TIME_LIMIT,30.006003618240356,9219
ADCY9,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0030002593994140625,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.015999794006347656,14,OPTIMAL,0.019999980926513672,57,OPTIMAL,0.008999824523925781,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.013000011444091797,14,OPTIMAL,0.01799941062927246,57,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0
ADD1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.00800013542175293,1,OPTIMAL,0.03200054168701172,17,CUT_LIMIT,0.08899950981140137,100,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.003000020980834961,2,OPTIMAL,0.008999824523925781,1,OPTIMAL,0.028000354766845703,17,OPTIMAL,0.1270003318786621,129,OPTIMAL,0.0,0,OPTIMAL,0.002000093460083008,2,OPTIMAL,0.00599980354309082,2,OPTIMAL,0.003999948501586914,16,CUT_LIMIT,0.03499960899353027,100,OPTIMAL,0.006999969482421875,2,OPTIMAL,0.0009999275207519531,2,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0029997825622558594,16,CUT_LIMIT,0.5220038890838623,1000,OPTIMAL,0.00599980354309082,0,OPTIMAL,0.004000186920166016,2,OPTIMAL,0.007999897003173828,2,OPTIMAL,0.004999637603759766,16,CUT_LIMIT,28.85500192642212,10000
ADD3,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.009000062942504883,1,OPTIMAL,0.009999990463256836,16,OPTIMAL,0.021000146865844727,64,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.00800013542175293,1,OPTIMAL,0.021000146865844727,16,OPTIMAL,0.01900005340576172,64,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.01699995994567871,17,OPTIMAL,0.02700042724609375,61,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.013000249862670898,17,OPTIMAL,0.0410008430480957,61,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.017999649047851562,17,OPTIMAL,0.015999555587768555,61
ADGRA2,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003999948501586914,4,OPTIMAL,0.006999969482421875,1,OPTIMAL,0.003999948501586914,14,CUT_LIMIT,0.029999494552612305,100,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0060002803802490234,4,OPTIMAL,0.006999969482421875,1,OPTIMAL,0.002000093460083008,14,CUT_LIMIT,0.4849998950958252,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.006999969482421875,2,OPTIMAL,0.009000062942504883,16,OPTIMAL,0.009999990463256836,39,OPTIMAL,0.01100015640258789,2,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.010999917984008789,16,OPTIMAL,0.031000614166259766,39,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.007999658584594727,2,OPTIMAL,0.01399993896484375,16,OPTIMAL,0.01699972152709961,39
ADGRA3,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0010001659393310547,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.018000125885009766,15,OPTIMAL,0.028000593185424805,65,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.01199960708618164,15,OPTIMAL,0.020999670028686523,65,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0
