,MIR222_d22_t30_ct100_status,MIR222_d22_t30_ct100_times,MIR222_d22_t30_ct100_cuts,MIR222_d33_t30_ct100_status,MIR222_d33_t30_ct100_times,MIR222_d33_t30_ct100_cuts,MIR222_d44_t30_ct100_status,MIR222_d44_t30_ct100_times,MIR222_d44_t30_ct100_cuts,MIR222_d23_t30_ct100_status,MIR222_d23_t30_ct100_times,MIR222_d23_t30_ct100_cuts,MIR222_d24_t30_ct100_status,MIR222_d24_t30_ct100_times,MIR222_d24_t30_ct100_cuts,MIR222_d22_t30_ct1000_status,MIR222_d22_t30_ct1000_times,MIR222_d22_t30_ct1000_cuts,MIR222_d33_t30_ct1000_status,MIR222_d33_t30_ct1000_times,MIR222_d33_t30_ct1000_cuts,MIR222_d44_t30_ct1000_status,MIR222_d44_t30_ct1000_times,MIR222_d44_t30_ct1000_cuts,MIR222_d23_t30_ct1000_status,MIR222_d23_t30_ct1000_times,MIR222_d23_t30_ct1000_cuts,MIR222_d24_t30_ct1000_status,MIR222_d24_t30_ct1000_times,MIR222_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct100_status,MIR199A1_d22_t30_ct100_times,MIR199A1_d22_t30_ct100_cuts,MIR199A1_d33_t30_ct100_status,MIR199A1_d33_t30_ct100_times,MIR199A1_d33_t30_ct100_cuts,MIR199A1_d44_t30_ct100_status,MIR199A1_d44_t30_ct100_times,MIR199A1_d44_t30_ct100_cuts,MIR199A1_d23_t30_ct100_status,MIR199A1_d23_t30_ct100_times,MIR199A1_d23_t30_ct100_cuts,MIR199A1_d24_t30_ct100_status,MIR199A1_d24_t30_ct100_times,MIR199A1_d24_t30_ct100_cuts,MIR199A1_d44_t30_ct1000_status,MIR199A1_d44_t30_ct1000_times,MIR199A1_d44_t30_ct1000_cuts,MIR199A1_d33_t30_ct1000_status,MIR199A1_d33_t30_ct1000_times,MIR199A1_d33_t30_ct1000_cuts,MIR199A1_d22_t30_ct1000_status,MIR199A1_d22_t30_ct1000_times,MIR199A1_d22_t30_ct1000_cuts,MIR199A1_d23_t30_ct1000_status,MIR199A1_d23_t30_ct1000_times,MIR199A1_d23_t30_ct1000_cuts,MIR199A1_d24_t30_ct1000_status,MIR199A1_d24_t30_ct1000_times,MIR199A1_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct10000_status,MIR199A1_d22_t30_ct10000_times,MIR199A1_d22_t30_ct10000_cuts,MIR199A1_d33_t30_ct10000_status,MIR199A1_d33_t30_ct10000_times,MIR199A1_d33_t30_ct10000_cuts,MIR199A1_d44_t30_ct10000_status,MIR199A1_d44_t30_ct10000_times,MIR199A1_d44_t30_ct10000_cuts,MIR199A1_d23_t30_ct10000_status,MIR199A1_d23_t30_ct10000_times,MIR199A1_d23_t30_ct10000_cuts,MIR199A1_d24_t30_ct10000_status,MIR199A1_d24_t30_ct10000_times,MIR199A1_d24_t30_ct10000_cuts
ASF1A,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004999876022338867,3,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.015000104904174805,14,OPTIMAL,0.026999950408935547,74,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,3,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.011000394821166992,14,OPTIMAL,0.01399993896484375,74,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.01799941062927246,17,OPTIMAL,0.01399993896484375,50,OPTIMAL,0.0,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0,0,OPTIMAL,0.015000104904174805,17,OPTIMAL,0.023000001907348633,50,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.01699995994567871,17,OPTIMAL,0.025999784469604492,50
ASF1B,OPTIMAL,0.0,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.009999990463256836,15,OPTIMAL,0.01900005340576172,61,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.006000041961669922,15,OPTIMAL,0.019000530242919922,61,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.006000041961669922,2,INFEASIBLE,0.0,0,OPTIMAL,0.017000198364257812,18,OPTIMAL,0.023999929428100586,48,INFEASIBLE,0.0,0,OPTIMAL,0.004999876022338867,2,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.014999866485595703,18,OPTIMAL,0.023999452590942383,48,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.005000114440917969,2,INFEASIBLE,0.0,0,OPTIMAL,0.013000011444091797,18,OPTIMAL,0.020000219345092773,48
ASH1L,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.0069997310638427734,1,OPTIMAL,0.009000062942504883,15,CUT_LIMIT,0.04600048065185547,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.009999990463256836,1,OPTIMAL,0.012999773025512695,15,CUT_LIMIT,0.5129992961883545,1000,OPTIMAL,0.0,0,OPTIMAL,0.004999876022338867,2,OPTIMAL,0.004000186920166016,0,OPTIMAL,0.004999876022338867,15,CUT_LIMIT,0.02500009536743164,100,OPTIMAL,0.004999876022338867,0,OPTIMAL,0.0029997825622558594,2,OPTIMAL,0.0,0,OPTIMAL,0.006000518798828125,15,CUT_LIMIT,0.436997652053833,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.0039997100830078125,15,CUT_LIMIT,28.341018199920654,10000
ASH2L,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.01399993896484375,15,CUT_LIMIT,0.031000137329101562,100,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.0069997310638427734,1,OPTIMAL,0.009999990463256836,15,CUT_LIMIT,0.4550013542175293,1000,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.006000041961669922,15,OPTIMAL,0.01600050926208496,78,OPTIMAL,0.004000186920166016,0,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.0,0,OPTIMAL,0.006000041961669922,15,OPTIMAL,0.01399993896484375,78,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003000020980834961,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.00599980354309082,15,OPTIMAL,0.023000478744506836,78
ASL,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,1,INFEASIBLE,0.0,0,OPTIMAL,0.00800013542175293,15,OPTIMAL,0.023000001907348633,60,OPTIMAL,0.0,0,OPTIMAL,0.002000093460083008,1,INFEASIBLE,0.0019998550415039062,0,OPTIMAL,0.006000041961669922,15,OPTIMAL,0.03000044822692871,60,OPTIMAL,0.0019998550415039062,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.013000011444091797,18,OPTIMAL,0.01399993896484375,38,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.018999814987182617,18,OPTIMAL,0.021999835968017578,38,OPTIMAL,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.007999897003173828,18,OPTIMAL,0.026000261306762695,38
ASMTL,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0,1,OPTIMAL,0.0069997310638427734,2,CUT_LIMIT,0.014999866485595703,100,CUT_LIMIT,0.03999972343444824,100,OPTIMAL,0.0,0,OPTIMAL,0.004999876022338867,1,OPTIMAL,0.0069997310638427734,2,CUT_LIMIT,0.03000020980834961,1000,CUT_LIMIT,0.4910001754760742,1000,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0019998550415039062,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0010001659393310547,0,INFEASIBLE,0.0,0
ASNS,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.032999515533447266,16,CUT_LIMIT,0.04500007629394531,100,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.025000333786010742,16,CUT_LIMIT,0.5350005626678467,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.005000114440917969,15,CUT_LIMIT,0.03699946403503418,100,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.0,0,OPTIMAL,0.0039997100830078125,15,CUT_LIMIT,0.4699978828430176,1000,OPTIMAL,0.0,0,OPTIMAL,0.0,1,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.00599980354309082,15,CUT_LIMIT,28.43900775909424,10000
ASNSD1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.006999969482421875,1,OPTIMAL,0.009000301361083984,16,CUT_LIMIT,0.03899979591369629,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0070002079010009766,1,OPTIMAL,0.017000198364257812,16,CUT_LIMIT,0.5689985752105713,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.006999969482421875,1,OPTIMAL,0.017000198364257812,17,CUT_LIMIT,0.04400038719177246,100,OPTIMAL,0.005000114440917969,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.006000041961669922,17,CUT_LIMIT,0.6009979248046875,1000,OPTIMAL,0.0,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.013000011444091797,17,TOTAL_TIME_LIMIT,30.000993728637695,8643
ASPH,OPTIMAL,0.0,0,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.006000041961669922,2,OPTIMAL,0.009999990463256836,17,CUT_LIMIT,0.032000064849853516,100,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.00800013542175293,2,OPTIMAL,0.0149993896484375,17,OPTIMAL,0.08300089836120605,146,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.004000186920166016,0,OPTIMAL,0.018000125885009766,17,OPTIMAL,0.03400015830993652,86,OPTIMAL,0.004999876022338867,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.009999752044677734,17,OPTIMAL,0.035001277923583984,86,OPTIMAL,0.017999887466430664,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.01399993896484375,17,OPTIMAL,0.06700015068054199,86
ASPM,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.02299976348876953,3,OPTIMAL,0.009999752044677734,17,CUT_LIMIT,0.08900070190429688,100,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.014999866485595703,3,OPTIMAL,0.00599980354309082,17,OPTIMAL,0.10399913787841797,111,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.01399993896484375,4,OPTIMAL,0.008000373840332031,16,CUT_LIMIT,0.025000333786010742,100,OPTIMAL,0.015000104904174805,4,OPTIMAL,0.0010001659393310547,1,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,16,CUT_LIMIT,0.6490023136138916,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.013000249862670898,4,OPTIMAL,0.004999637603759766,16,TOTAL_TIME_LIMIT,30.00301504135132,8604
ASPSCR1,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.023000001907348633,4,OPTIMAL,0.016000032424926758,15,CUT_LIMIT,0.04199981689453125,100,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.017999887466430664,4,OPTIMAL,0.017999887466430664,15,CUT_LIMIT,0.4830009937286377,1000,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0019998550415039062,1,INFEASIBLE,0.0010001659393310547,0,OPTIMAL,0.013000011444091797,17,OPTIMAL,0.017999887466430664,40,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.009000301361083984,17,OPTIMAL,0.03900003433227539,40,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.002000093460083008,1,INFEASIBLE,0.0,0,OPTIMAL,0.016000032424926758,17,OPTIMAL,0.015999794006347656,40
ASS1,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.014000177383422852,16,CUT_LIMIT,0.03099989891052246,100,OPTIMAL,0.0,0,OPTIMAL,0.0030002593994140625,1,OPTIMAL,0.005000114440917969,1,OPTIMAL,0.019999980926513672,16,CUT_LIMIT,0.44500041007995605,1000,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0
ASTE1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,INFEASIBLE,0.0,0,OPTIMAL,0.011999845504760742,14,OPTIMAL,0.016000032424926758,53,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,INFEASIBLE,0.0,0,OPTIMAL,0.01600027084350586,14,OPTIMAL,0.012000083923339844,53,OPTIMAL,0.002000093460083008,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.014999628067016602,17,CUT_LIMIT,0.03000044822692871,100,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.015999794006347656,17,CUT_LIMIT,0.4999985694885254,1000,OPTIMAL,0.002000093460083008,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.015000343322753906,17,TOTAL_TIME_LIMIT,30.000004768371582,9204
ASXL1,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.0,2,OPTIMAL,0.03200054168701172,16,OPTIMAL,0.018999814987182617,46,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.01100015640258789,2,OPTIMAL,0.034999847412109375,16,OPTIMAL,0.026000261306762695,46,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,3,OPTIMAL,0.009000301361083984,3,OPTIMAL,0.004999876022338867,15,OPTIMAL,0.020000219345092773,78,OPTIMAL,0.009000301361083984,3,OPTIMAL,0.003999948501586914,3,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.00599980354309082,15,OPTIMAL,0.018000125885009766,78,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,3,OPTIMAL,0.008999824523925781,3,OPTIMAL,0.003999948501586914,15,OPTIMAL,0.019000530242919922,78
ASXL2,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.01100015640258789,2,OPTIMAL,0.015000104904174805,16,OPTIMAL,0.03500056266784668,52,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.00800013542175293,2,OPTIMAL,0.013000011444091797,16,OPTIMAL,0.01699972152709961,52,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.015999794006347656,16,OPTIMAL,0.018000364303588867,36,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.01399993896484375,16,OPTIMAL,0.01399993896484375,36,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.014999866485595703,16,OPTIMAL,0.014000415802001953,36
ATAD1,OPTIMAL,0.0,0,OPTIMAL,0.003999948501586914,3,OPTIMAL,0.025000333786010742,7,OPTIMAL,0.006999969482421875,14,OPTIMAL,0.02499985694885254,51,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004000186920166016,3,OPTIMAL,0.026999711990356445,7,OPTIMAL,0.0010001659393310547,14,OPTIMAL,0.011999845504760742,51,OPTIMAL,0.0,0,OPTIMAL,0.0009999275207519531,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.009999990463256836,17,CUT_LIMIT,0.037999629974365234,100,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.010999917984008789,17,CUT_LIMIT,0.5310018062591553,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0,1,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.013999700546264648,17,TOTAL_TIME_LIMIT,30.000001192092896,9177
ATAD2,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.006000041961669922,2,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.00800013542175293,17,CUT_LIMIT,0.05299973487854004,100,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.00800013542175293,1,OPTIMAL,0.026999711990356445,17,CUT_LIMIT,0.5340020656585693,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.016000032424926758,17,OPTIMAL,0.01999974250793457,68,OPTIMAL,0.004000186920166016,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0,0,OPTIMAL,0.01399993896484375,17,OPTIMAL,0.026000261306762695,68,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.017999887466430664,17,OPTIMAL,0.031999826431274414,68
ATAD2B,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,OPTIMAL,0.014000177383422852,15,CUT_LIMIT,0.04399991035461426,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,15,CUT_LIMIT,0.4869983196258545,1000,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0
ATAD3A,OPTIMAL,0.0,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.018999814987182617,16,OPTIMAL,0.016000032424926758,54,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.005000114440917969,16,OPTIMAL,0.012999773025512695,54,OPTIMAL,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.017000198364257812,17,OPTIMAL,0.026000022888183594,49,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.01399993896484375,17,OPTIMAL,0.01699995994567871,49,OPTIMAL,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.014000177383422852,17,OPTIMAL,0.023999929428100586,49
ATAD3B,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.01600027084350586,15,CUT_LIMIT,0.053999900817871094,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,OPTIMAL,0.01699972152709961,15,CUT_LIMIT,0.45200228691101074,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.004999876022338867,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.004000186920166016,15,CUT_LIMIT,0.02700042724609375,100,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.0029997825622558594,2,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,15,CUT_LIMIT,0.468003511428833,1000,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,2,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.00800013542175293,15,TOTAL_TIME_LIMIT,30.006001949310303,9194
ATAD5,OPTIMAL,0.0,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.010999917984008789,16,CUT_LIMIT,0.06000113487243652,100,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.015000104904174805,16,CUT_LIMIT,0.4649996757507324,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.011999845504760742,17,CUT_LIMIT,0.03400015830993652,100,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.009000301361083984,17,CUT_LIMIT,0.49399900436401367,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.004999876022338867,0,OPTIMAL,0.012999773025512695,17,TOTAL_TIME_LIMIT,30.000998497009277,9190
ATAT1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.010999679565429688,16,CUT_LIMIT,0.04399991035461426,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.01199960708618164,16,CUT_LIMIT,0.4889955520629883,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.006999969482421875,2,INFEASIBLE,0.0,0,OPTIMAL,0.009999752044677734,16,OPTIMAL,0.028000593185424805,39,INFEASIBLE,0.0,0,OPTIMAL,0.0029997825622558594,2,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.013999700546264648,16,OPTIMAL,0.023000240325927734,39,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0039997100830078125,2,INFEASIBLE,0.0,0,OPTIMAL,0.01600027084350586,16,OPTIMAL,0.020999908447265625,39
ATE1,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.004000186920166016,1,OPTIMAL,0.008999824523925781,1,OPTIMAL,0.013000011444091797,15,OPTIMAL,0.02899932861328125,87,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.009000062942504883,1,OPTIMAL,0.015999555587768555,15,OPTIMAL,0.04200005531311035,87,OPTIMAL,0.0,0,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.004999876022338867,15,OPTIMAL,0.018000364303588867,80,OPTIMAL,0.0,0,OPTIMAL,0.004000425338745117,2,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004000425338745117,15,OPTIMAL,0.020000219345092773,80,OPTIMAL,0.0,0,OPTIMAL,0.0039997100830078125,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.002000093460083008,15,OPTIMAL,0.025000810623168945,80
ATF1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.014999866485595703,15,OPTIMAL,0.019999980926513672,82,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.013000249862670898,15,OPTIMAL,0.025000333786010742,82,OPTIMAL,0.0,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004999876022338867,0,OPTIMAL,0.015000343322753906,16,OPTIMAL,0.02299976348876953,51,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.018000364303588867,16,OPTIMAL,0.021999835968017578,51,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.004000186920166016,0,OPTIMAL,0.016000032424926758,16,OPTIMAL,0.01699995994567871,51
ATF2,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.0279998779296875,4,OPTIMAL,0.009000301361083984,14,OPTIMAL,0.024000167846679688,61,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.017999649047851562,4,OPTIMAL,0.010999917984008789,14,OPTIMAL,0.025000333786010742,61,OPTIMAL,0.0010001659393310547,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,CUT_LIMIT,0.010999917984008789,100,CUT_LIMIT,0.04099869728088379,100,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.0009999275207519531,0,CUT_LIMIT,0.032999515533447266,1000,CUT_LIMIT,0.5090010166168213,1000,OPTIMAL,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,CUT_LIMIT,1.6950020790100098,10000,TOTAL_TIME_LIMIT,30.00401282310486,9181
ATF4,OPTIMAL,0.0,0,OPTIMAL,0.004999876022338867,0,OPTIMAL,0.009000062942504883,0,OPTIMAL,0.01399993896484375,17,CUT_LIMIT,0.05399942398071289,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0,0,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.01100015640258789,17,OPTIMAL,0.050000667572021484,135,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.009999990463256836,3,OPTIMAL,0.015000104904174805,17,OPTIMAL,0.03299999237060547,90,OPTIMAL,0.005000114440917969,3,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.015999555587768555,17,OPTIMAL,0.04000043869018555,90,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.004999876022338867,3,OPTIMAL,0.013000011444091797,17,OPTIMAL,0.03700065612792969,90
